,R,D,H,PL,F
0,40024.01158443062,5245.243428385116,596.0,235.5607426954063,10.170261715394957
1,50208.88654366878,5226.922512678849,96.0,192.57523304944584,10.170261715394957
2,60888.53224670936,1187.850891621632,183.0,227.25016535271521,10.170261715394957
3,16136.36681739168,4314.650385141221,83.0,183.47186661004991,10.170261715394957
4,24596.148512584583,1482.8434906800403,279.0,194.64198167652822,10.170261715394957
5,47621.54135347828,924.5884552194273,74.0,206.18986694977428,10.170261715394957
6,32169.804102436337,924.6986616102365,33.0,187.02106770334996,10.170261715394957
7,9299.853460089744,1749.187648391029,195.0,183.6029685573607,10.170261715394957
8,46249.754443042366,21276.55089840794,83.0,192.0085914228626,10.170261715394957
9,48097.73006205834,924.4464807773331,267.0,201.5794014719406,10.170261715394957
10,31747.78697793636,1849.1218915168258,40.0,181.53125831344465,10.170261715394957
11,20991.345200233518,3771.751353139112,197.0,186.70108296564797,10.170261715394957
12,39667.74341632907,2406.814802967688,118.0,198.30915880437243,10.170261715394957
13,35005.14383437521,924.4464529975871,149.0,224.59900290464873,10.170261715394957
14,34821.11774927068,22502.837240527166,-221.0,187.5075219974646,10.170261715394957
15,22430.272058738643,5275.596560535124,105.0,184.33521600776692,10.170261715394957
16,65373.742635585164,1187.8358243323125,182.0,231.79948657038594,10.170261715394957
17,28116.538764515575,1184.9079154154704,75.0,193.1798280585208,10.170261715394957
18,56167.61348210337,2872.123371731492,316.0,199.51326933910067,10.170261715394957
19,63252.87096720207,2883.868729901555,227.0,197.91070575464732,10.170261715394957
20,54152.021610972464,924.5234656690493,190.0,200.4050469694689,10.170261715394957
21,42904.30084299831,1482.4762473486194,235.0,198.19080490053608,10.170261715394957
22,17667.806716327683,9383.004576341664,-23.0,178.27587109527386,10.170261715394957
23,37201.47413515307,18641.97521765836,461.0,194.0077344050996,10.170261715394957
24,56493.23099402114,3548.6019472189955,25.0,191.4234355869204,10.170261715394957
25,46472.39909255689,924.5495275730397,119.0,194.82164930435715,10.170261715394957
26,34242.789480276515,5195.309398903545,191.0,191.555904047901,10.170261715394957
27,29795.063478512257,741.2117676383858,42.0,193.11411112489245,10.170261715394957
28,40814.30333482805,4151.196428492616,128.0,228.2454787659337,10.170261715394957
29,59345.81875715093,10238.520098031482,314.0,206.62089213073088,10.170261715394957
