,R,D,H,PL,F
0,32277.898605166065,735.6408243881591,5.0,177.83751217223755,10.170261715394957
1,41377.81576367678,15915.351694625366,135.0,189.1502297364604,10.170261715394957
2,49718.288092535666,925.0452696256131,38.0,185.7543268470736,10.170261715394957
3,33955.66638515359,2393.6969146386273,10.0,178.3415971010932,10.170261715394957
4,57672.70425953636,4036.03672302796,343.0,199.7723051935964,10.170261715394957
5,9937.107370579768,1740.178097081649,146.0,180.47564907436586,10.170261715394957
6,40360.418763742746,2877.1382408098953,96.0,184.0763835241205,10.170261715394957
7,68778.57032842869,3539.291452083516,143.0,193.30792953454568,10.170261715394957
8,23291.90689217085,6690.177862514486,136.0,182.22397715785556,10.170261715394957
9,45238.31371358814,2871.776759333943,79.0,188.56889723286056,10.170261715394957
10,12237.331385519428,6282.286082008276,7.0,154.56068828551358,10.170261715394957
11,5549.450345975281,3699.5916820276,-5.0,140.7954105196459,10.170261715394957
12,39020.41154401204,12046.553507867444,322.0,192.28676798979942,10.170261715394957
13,6639.806789880456,4853.502516964423,-52.0,132.29612637223445,10.170261715394957
14,10267.671382406115,3799.120129002627,23.0,164.622356114531,10.170261715394957
15,53296.42371723437,16153.534028572964,62.0,176.28192026606473,10.170261715394957
16,50115.29999174047,19156.092561747868,-17.0,185.046566579809,10.170261715394957
17,33554.0427620556,925.0659315437821,17.0,176.5607399058726,10.170261715394957
18,39151.8002216687,1180.7284611308487,80.0,189.3277001302717,10.170261715394957
19,33257.429880940464,2397.0948009854897,137.0,212.70990700742325,10.170261715394957
20,44458.48547118383,3472.282687538563,87.0,196.11349751421307,10.170261715394957
21,45017.576769137915,1180.3923247304576,9.0,181.3170385868122,10.170261715394957
22,57390.86340489044,16134.51567037571,76.0,188.43854321376466,10.170261715394957
23,36259.35181417745,1849.7998736813363,40.0,188.47352171171985,10.170261715394957
24,41578.88769493512,5210.95477853141,153.0,190.01857262411033,10.170261715394957
25,28180.119798313106,3476.4230046726957,62.0,178.71504455748612,10.170261715394957
26,55156.033065352385,46887.148770788706,153.0,188.12772163795358,10.170261715394957
27,5911.718921039604,4728.987315490293,-10.0,131.28729306747923,10.170261715394957
28,24744.344633506724,1182.9038035125955,67.0,183.27918975605402,10.170261715394957
29,52579.6627542375,4056.8123560389045,196.0,195.22424690269548,10.170261715394957
30,45245.25644447775,23198.95091030626,-69.0,184.49176792726814,10.170261715394957
31,46119.009149402045,1179.7553289815153,67.0,194.3125243718115,10.170261715394957
32,34442.68848991907,3139.129045249849,120.0,211.20782507593248,10.170261715394957
33,24469.890924063693,1473.930749278057,198.0,191.17864737439234,10.170261715394957
34,40903.163596276056,34262.74436803448,60.0,180.53611606761208,10.170261715394957
35,40512.73031961213,28909.30898310052,39.0,171.2920195817242,10.170261715394957
36,57500.517721362434,11643.735896183638,33.0,182.7116096326752,10.170261715394957
37,40406.271273189515,738.4339236368128,116.0,193.99929836252275,10.170261715394957
38,48788.32967422375,2369.428486995537,75.0,197.0741492739441,10.170261715394957
39,56452.02086362512,5750.794220349142,71.0,183.49266609582216,10.170261715394957
40,53646.40841091583,1990.2334951266014,30.0,182.77530811043943,10.170261715394957
41,58291.57183613946,16151.950053892406,-48.0,188.10552872651488,10.170261715394957
42,20825.926293055287,14182.306142239178,69.0,175.66178101344147,10.170261715394957
43,43714.86548554016,4517.041871260538,323.0,195.8630327957529,10.170261715394957
44,10434.632434859683,736.7148103463556,23.0,169.2277048026646,10.170261715394957
45,29079.67556147324,1471.969153221434,10.0,177.04936524337998,10.170261715394957
46,53238.3163778345,27784.587161846186,-12.0,190.64908355676994,10.170261715394957
47,21361.139205842752,736.2850695476831,28.0,175.93706463706457,10.170261715394957
48,25550.37248825624,18908.052789771467,69.0,177.10937707082505,10.170261715394957
49,63152.23935174708,41973.385174744115,72.0,172.388281769513,10.170261715394957
50,58406.88010130775,732.8815679248924,30.0,186.37616432352678,10.170261715394957
51,39599.824027281,1992.0958177301318,37.0,192.54787295936734,10.170261715394957
52,45068.77826868942,4112.352512726405,76.0,183.7231891314801,10.170261715394957
53,22457.920703146596,14181.802505970434,12.0,160.39325656404898,10.170261715394957
54,24456.09322337793,6181.290633175355,39.0,179.12146507331607,10.170261715394957
55,33588.857999786145,924.9370973686861,34.0,203.30084850580374,10.170261715394957
56,38498.79355836716,2871.5524118889607,109.0,186.29657524437778,10.170261715394957
57,13768.507718000528,1474.1613155683197,26.0,169.08894209469287,10.170261715394957
58,34876.82943377372,1470.2115523713783,267.0,197.0486401599623,10.170261715394957
59,45871.035311393796,38703.54264773867,-327.0,185.40952533171355,10.170261715394957
60,53252.28237779906,34467.98690953372,187.0,188.39325713095107,10.170261715394957
61,44785.16135851455,924.9580397467092,104.0,192.55818517059072,10.170261715394957
62,41209.77187265082,1184.5831550029066,72.0,193.05692521857245,10.170261715394957
63,57483.52739861436,15086.83402002493,81.0,190.3800651954246,10.170261715394957
64,24942.38881509528,9508.358287146315,21.0,185.79776636190275,10.170261715394957
65,58897.17404965581,48941.672473431936,368.0,197.93172522693888,10.170261715394957
66,56511.112587702286,21175.554932445906,261.0,195.86818667541434,10.170261715394957
67,64471.91233547048,5206.5479853460965,43.0,181.67480016652743,10.170261715394957
68,22766.147948170877,1737.603638204116,78.0,181.91144334235662,10.170261715394957
69,42421.889699876614,1184.2532860428505,55.0,195.7247690519304,10.170261715394957
70,25951.604609925365,10381.601223854364,287.0,188.75721545491805,10.170261715394957
