,R,D,H,PL,F
0,30682.65033597187,24899.698591069948,266.0,130.6195628903748,8.0
1,17670.34371351834,1186.7254215129053,153.0,123.13660234585879,8.0
2,30036.563698827682,1991.3760937026943,28.0,118.1991905435572,8.0
3,49677.22905796212,18728.286501403836,172.0,132.7613168002978,8.0
4,30343.75919272933,1183.9050396014532,93.0,130.40237328372316,8.0
5,52082.201646620255,2887.779352626534,87.0,118.91471238320054,8.0
6,44228.16916065838,3105.9624466987807,115.0,124.11715900432753,8.0
7,47878.21851584662,743.6190006525927,51.0,142.9327594457596,8.0
8,39365.139564444384,20052.445106089406,471.0,106.57316310157502,8.0
9,30178.082559724407,7472.032670138477,237.0,122.21321611857313,8.0
10,56861.441850997784,737.8716955428571,120.0,134.78313434635118,8.0
11,47020.20239687154,6977.117330195513,100.0,132.06245203808737,8.0
12,38000.544425866115,741.7680844354956,212.0,133.2620087564921,8.0
13,40849.302154208715,5596.642866051047,205.0,116.96972905113746,8.0
14,8741.856593484501,1185.421758653033,162.0,113.47409711048915,8.0
15,11471.661618832872,2410.8870904576106,171.0,117.28123388729223,8.0
16,29066.452049265503,9690.270192168618,144.0,123.75635950132968,8.0
17,40017.94021208715,1991.3497274153797,56.0,118.20563569424557,8.0
18,22496.493635976367,17814.768213111645,-451.0,103.23602480702104,8.0
19,50703.51963350944,924.4922747350623,31.0,128.571257657846,8.0
20,43270.109649521015,3826.493329601506,124.0,129.39705766611144,8.0
21,36156.807776254536,12726.041964823626,432.0,110.30185950667158,8.0
22,37585.83725518731,10400.157002061262,131.0,132.6786614337149,8.0
23,42086.281981193664,744.3755515217625,95.0,128.87265022107016,8.0
24,34264.60909237194,1750.7413245154019,114.0,131.85651697481225,8.0
25,38208.2141136348,1187.8169141397511,124.0,137.53213907626383,8.0
26,43570.035175552846,2367.689017662067,147.0,133.97497269574532,8.0
27,64431.71925103987,5940.585955515489,113.0,133.5692382648032,8.0
28,32609.08524722896,742.9905074921631,235.0,133.82617817699878,8.0
29,31993.705945844948,6841.768821059192,82.0,119.7532158782125,8.0
30,49202.32254759879,924.5629439315265,386.0,139.74679275764854,8.0
31,38423.02627989707,1183.988186397913,64.0,130.05592371212543,8.0
32,11658.212410275328,8127.197541606984,-40.0,114.97759035072733,8.0
33,25531.793860005295,20416.279697153088,7.0,121.78648962895429,8.0
34,50275.70972640344,924.6237565500646,58.0,135.7016547015786,8.0
35,47802.3115589204,6840.983909967019,88.0,120.78106383156492,8.0
36,45995.74270478352,5486.468820572641,398.0,124.26624629776252,8.0
37,17928.910555340615,3983.584754492617,136.0,117.48756084818712,8.0
38,54938.595403126,15072.968989051058,429.0,128.66648275491903,8.0
39,18397.78758011521,12916.591710021225,216.0,125.1343083735046,8.0
40,13464.239767549121,1992.2970079851711,21.0,109.88998859780935,8.0
41,48537.25659278781,10277.432845378291,278.0,114.88947658043975,8.0
42,14097.099217594061,741.6843061043684,69.0,113.49236485551582,8.0
43,43448.55934675983,2898.031487804729,70.0,122.7818149321532,8.0
44,4450.793199257985,3708.4042363546787,-64.0,86.43652890075154,8.0
45,18520.857809262736,741.6037670785407,90.0,120.77156663681198,8.0
46,54498.71775525083,18712.76941756254,162.0,122.69358277812853,8.0
47,44468.19272711801,21026.101243097793,416.0,114.43360257124945,8.0
48,39674.42768259158,16876.455415380213,204.0,115.09099385829373,8.0
49,42466.72922096808,7121.793753210111,696.0,135.38085928119722,8.0
50,38705.4589067358,9105.110549350618,195.0,110.72719686280652,8.0
51,26178.722265824243,1485.4295627095821,32.0,114.23256237845206,8.0
52,51824.03899645813,2773.84873945863,103.0,130.9767754967316,8.0
53,43441.55465038198,5253.600904033765,323.0,129.75205804895705,8.0
54,35601.964710391454,1187.6685572731842,130.0,140.57442306662978,8.0
55,37646.202649163366,11027.72044624181,272.0,122.12452484817166,8.0
56,57851.70661041049,2366.44344268091,19.0,116.58673626831423,8.0
57,57360.28145082678,15857.9863103561,151.0,125.87135340669357,8.0
58,14952.313572818115,2225.31392700782,174.0,124.11698181873768,8.0
59,23354.221256823337,924.6133848723532,70.0,119.44970442643445,8.0
60,40004.05752440654,1849.2473869189732,128.0,119.75897925400587,8.0
61,48770.30216023016,4852.93642433127,193.0,124.0741781335272,8.0
62,31992.70989754924,1183.4913364707434,111.0,121.8257806674907,8.0
63,39060.23176149164,22223.72953777875,-15.0,130.79362283758286,8.0
64,53297.62258359129,5247.674732884312,394.0,148.9511685464479,8.0
65,36216.75610081291,1187.06837113781,123.0,126.65535520241747,8.0
66,49793.40363157552,12895.722585138996,208.0,138.90969401562734,8.0
67,42711.49142564644,10830.0237679396,107.0,128.37943594214744,8.0
68,42678.70360445767,18231.11156794255,530.0,130.4634488430336,8.0
69,33369.41959480445,1849.2526364354767,156.0,124.02553070389914,8.0
70,50221.89481474179,29026.933442777507,283.0,115.39926366735962,8.0
71,48071.48301076121,30111.598580117265,520.0,107.4380338642743,8.0
72,36421.81314323251,1744.1185339067738,106.0,126.12384932954018,8.0
73,18520.211035735392,1185.176617712262,329.0,146.22486277778583,8.0
74,15194.021138921647,1747.0628310326783,215.0,101.17555692192147,8.0
75,11417.398918518102,924.6220904325533,51.0,111.41836776162252,8.0
76,43271.510688010945,18634.2268517812,499.0,119.65085250433556,8.0
77,29075.29357129964,1746.2511251535354,96.0,129.45839824039743,8.0
78,41809.392343163854,3818.7382139577585,212.0,132.8810849282624,8.0
79,41304.11516717395,15818.254214665185,249.0,124.63927646965811,8.0
80,47243.18355600361,18720.75424859374,429.0,115.01619619100595,8.0
81,13887.842689965426,12041.887693496816,-548.0,95.72216839949802,8.0
82,42761.961185339555,8623.896566120487,139.0,124.64951678809288,8.0
83,34320.79566661781,741.2865364590226,128.0,138.61161452903093,8.0
84,48375.86301817526,2898.506743055659,199.0,139.2862671122232,8.0
85,54869.79386965774,924.6821953414982,43.0,135.85643673773757,8.0
86,44101.55284947597,2367.132171596848,217.0,134.13287991720975,8.0
87,31603.621846020596,1991.5033365156914,214.0,127.6375482415911,8.0
88,32368.270102956158,1849.2104176128462,480.0,115.58426884770985,8.0
