,R,D,H,PL,F
0,51361.2496894438,1187.0614077380421,171.0,132.1074643024025,8.0
1,17819.336319753736,10279.366137369432,-31.0,107.74995200183093,8.0
2,55503.19162721823,1764.8610322855372,241.0,134.44511501838997,8.0
3,27314.242774697625,6976.744049889776,176.0,122.56682317696286,8.0
4,62874.357848283165,8637.444031062241,230.0,134.89360548143466,8.0
5,20799.949876426817,1494.1868736829256,57.0,125.02768695927872,8.0
6,10514.846777082956,5236.940599173936,-4.0,100.82613505780157,8.0
7,39850.33589118793,29095.315278274185,-267.0,115.28029478713864,8.0
8,31755.209108026756,5597.945092924157,233.0,126.07539466662351,8.0
9,57253.34106197695,7123.305435601376,155.0,126.29359788355966,8.0
10,56477.45203828499,2914.228246856752,495.0,138.48113801329671,8.0
11,62316.32944128149,1186.318015743887,192.0,134.49786042080018,8.0
12,47792.058475001744,39928.33158130505,-338.0,122.02702921742565,8.0
13,44787.43528298389,24099.001672060815,299.0,115.41999968808013,8.0
14,33011.618177275406,5231.874611896424,140.0,122.11511377532707,8.0
15,38133.62256689391,747.3783330254245,304.0,136.24467025283778,8.0
16,11896.020275680678,2379.770747713101,30.0,105.88443365757902,8.0
17,25437.272618940104,745.8329235459809,37.0,116.6557224307563,8.0
18,22193.858795855496,746.6934236565527,128.0,135.19633645604114,8.0
19,18896.18756105358,2989.9986673655826,266.0,123.97575344271269,8.0
20,32600.17929793607,11902.022651436608,270.0,112.88127925021314,8.0
21,64465.17800836541,1185.936061665256,129.0,136.81903036509354,8.0
22,20949.402707030808,1995.018096126478,116.0,105.85140446804849,8.0
23,66779.0246206594,18989.757879082954,466.0,132.5306830120497,8.0
24,25136.579996865858,5933.3321009104675,251.0,122.87123108086855,8.0
25,43972.595796074296,4682.787284335597,18.0,118.72272665581349,8.0
26,38208.764090306955,3153.427789155889,232.0,122.24088434197365,8.0
27,45276.085672484995,3148.8037515272254,96.0,129.31355161497478,8.0
28,36633.97642743598,3511.671248110751,66.0,119.5123413343077,8.0
29,45430.87536383431,745.612071149432,35.0,125.73461832817722,8.0
30,10761.764297514417,1188.7242950279401,252.0,132.84252732196623,8.0
31,45588.637013884625,1186.6754446146933,23.0,120.14497190717042,8.0
32,45003.357785295266,24451.92684879617,81.0,121.2055878328877,8.0
33,40204.56326919002,3124.407488859921,77.0,128.68693071917446,8.0
34,49375.3747043605,5747.476036350103,255.0,131.17945357373202,8.0
35,44435.58610175297,924.4928175020923,107.0,129.49645036751426,8.0
36,60036.0204018967,1191.703206583809,84.0,136.85585507098455,8.0
37,46393.37988193006,744.3480600116641,163.0,134.2684557414262,8.0
38,14048.842372918452,10279.780073963138,-29.0,105.67251497801816,8.0
39,38863.719194280005,32898.36324890756,-87.0,124.81309582304218,8.0
40,50055.915115187636,26790.168167338707,281.0,125.5192416754376,8.0
41,21428.256032259796,10838.347914867052,-46.0,110.77997968527006,8.0
42,28760.384726640004,5270.07728676902,273.0,117.43447220315474,8.0
43,14559.693670741686,747.3344487790824,153.0,122.63250920216167,8.0
44,18560.860664334603,4323.532470975966,67.0,111.36291189799577,8.0
45,65015.70664784118,53827.965750269395,-433.0,130.6338577578764,8.0
46,55936.6776450166,924.5103353026918,108.0,130.6111179917831,8.0
47,43185.73911255396,1995.8510984526893,250.0,130.22139356395664,8.0
48,57850.460552222845,924.3803700550523,156.0,134.43085042758906,8.0
49,44312.82654752867,25681.67393391137,289.0,110.7360251071642,8.0
50,38987.31730299396,5822.597459022304,45.0,112.60343556481345,8.0
51,47404.96243336186,3774.0035690333193,233.0,133.0046369322124,8.0
52,47654.47535603817,924.6822749362304,112.0,129.51397655807983,8.0
53,30967.505910137035,1190.0772398101692,39.0,120.10585906947583,8.0
54,45717.68588746021,746.0714449214344,17.0,133.23760835598415,8.0
55,42033.7343431172,924.7341649993699,51.0,134.36078943738806,8.0
56,52210.93936775485,924.5954730921549,57.0,138.62688333400814,8.0
57,47094.36278245645,2873.4460471701777,284.0,126.65030991811338,8.0
58,48474.57777943731,20817.394817307944,514.0,114.82365732297426,8.0
59,37437.124027122576,2901.6517552963064,118.0,129.8822319189382,8.0
60,23627.377813012838,2241.6855048623897,126.0,124.08680455103057,8.0
61,45436.660902562944,4330.773250383828,115.0,133.1775576737985,8.0
62,22907.51573704318,1760.4288766630061,267.0,109.9199636507941,8.0
63,53627.23461426737,1849.3192507314793,138.0,128.5648398517739,8.0
64,24791.629195583606,16814.914719530905,195.0,113.49662022955962,8.0
65,51812.00298531255,2901.5557926383653,185.0,129.48275502904485,8.0
66,41847.732863347504,9276.307445130957,29.0,123.77408707013853,8.0
67,39695.93805490022,27331.499498623445,18.0,114.39515215018758,8.0
68,50544.49038873164,9531.262983217937,305.0,122.84166037718919,8.0
69,35789.53349279883,1190.3106762059028,40.0,118.54628584645593,8.0
70,38915.515716046786,1993.726938971201,119.0,132.32104120299368,8.0
71,40654.257753531834,11170.823199919041,22.0,121.57795396979579,8.0
72,13743.571446041344,2243.864391053045,122.0,117.75982734490678,8.0
73,19645.15443077258,2773.812372850249,82.0,114.18232257978683,8.0
74,28489.546793070273,5255.542054751925,134.0,117.26826335379008,8.0
75,12304.499098275346,4653.727742863284,146.0,105.11074903133395,8.0
76,49952.97975146486,1993.0208645762134,16.0,122.74867609389858,8.0
77,44544.19857379773,3562.6360870895473,84.0,126.35586744217298,8.0
78,40026.02846046861,14360.62314292624,192.0,120.76612201621202,8.0
79,19518.346696772314,746.7152213661319,65.0,117.94564228699036,8.0
80,26012.04227390939,12140.872258645864,303.0,111.87176723201654,8.0
81,34290.26425427852,9880.791178976084,281.0,124.66305497655824,8.0
82,31011.726020975268,12111.765971622463,625.0,130.8817374400906,8.0
83,37325.27344942887,1189.776145578793,65.0,124.69677083007208,8.0
84,57506.525202417106,6968.4962854859195,114.0,127.98617261077148,8.0
85,43669.59991803907,4329.572659865265,80.0,124.9408264068587,8.0
86,30261.790072216696,745.6861106296892,54.0,121.1986458600255,8.0
87,39933.7556571724,924.5396929546014,104.0,131.04843400084374,8.0
88,33181.07249616183,749.6004161440476,59.0,124.2628472607407,8.0
89,36565.29507091062,13226.401914141583,224.0,126.35148460338702,8.0
90,40906.88055541347,2244.6970098002535,23.0,116.69962733723975,8.0
91,45458.83304300187,25985.48126379299,92.0,119.38520017582076,8.0
92,29984.295647763716,1188.485192611396,9.0,110.82089822791205,8.0
93,43652.93514397209,12217.484297247236,8.0,118.74484119493808,8.0
94,53644.09134932261,2773.5150953843,344.0,135.07788813906637,8.0
95,63193.950560860336,22175.28739436275,312.0,127.6292586847264,8.0
96,38797.417868082804,11446.03066545043,459.0,122.68780665831619,8.0
97,19089.557210569168,3150.0406071096745,131.0,118.1844326673104,8.0
98,44842.16886747157,745.2328969608603,118.0,132.7427134171554,8.0
99,18441.30501817,5277.654446862147,141.0,119.12980286486636,8.0
100,42332.760053892336,749.0161768915991,34.0,127.93550487743599,8.0
101,28576.57065112318,749.3965242773614,121.0,127.26717483208424,8.0
