,R,D,H,PL,F
0,33416.371984029865,22466.8794810275,337.0,125.42394319744984,8.0
1,38392.63041294148,37525.373456505986,27.0,110.08907566633867,8.0
2,13072.7126567996,1181.3842858224787,289.0,125.26368658334215,8.0
3,33184.39977427038,735.6289385530556,46.0,132.16150449134494,8.0
4,31721.54190252894,9008.34124901548,293.0,131.59112827935223,8.0
5,18416.368928601103,1736.648310681898,92.0,121.71376224808878,8.0
6,15443.436992454284,733.7507074156475,-40.0,104.33368954247469,8.0
7,35224.20228907908,26048.24914859807,116.0,106.6010947561643,8.0
8,31094.02130969254,735.6273519005518,94.0,125.36569849180835,8.0
9,57308.164301225646,54443.1232987895,28.0,113.32330012575272,8.0
10,26458.287835703537,6337.081892606724,-7.0,122.68497326888489,8.0
11,24638.261931118566,15401.064700379056,116.0,106.6887728054196,8.0
12,11476.282959809914,8607.190202390762,28.0,100.44465105291154,8.0
13,38087.590402666625,10637.995780969857,264.0,118.19799583148729,8.0
14,20551.313973735214,7432.705949006639,126.0,125.26639509927723,8.0
15,17993.18639362123,15845.512646833004,6.0,101.572272823696,8.0
16,53173.490881296675,52305.983569086246,27.0,112.87443714168792,8.0
17,31091.084346549665,3980.723871912874,205.0,128.66478864140686,8.0
18,35408.23333150119,29812.608257232314,38.0,114.33119994608055,8.0
19,43032.030881252314,40162.93997003704,28.0,110.90226280353716,8.0
20,37397.10192946825,36233.31904065145,12.0,108.53137258816645,8.0
21,53533.605841425306,44909.26891261586,241.0,112.6618762642307,8.0
22,52485.424580980696,1182.8917811815586,294.0,137.29406037863325,8.0
23,28670.189045090396,924.4852716715111,48.0,129.25518559247342,8.0
24,59980.11706223589,58810.0572677607,11.0,112.87074220008128,8.0
25,22406.09817698677,21258.460419524054,12.0,103.6810549889936,8.0
26,24254.759321190937,2869.75692268599,183.0,134.3842482881914,8.0
27,66909.40905142007,49653.51566845246,245.0,128.3756227846983,8.0
28,7166.705779451784,734.9556882067037,12.0,98.45344508707336,8.0
29,31036.9460779955,28124.613266442786,8.0,106.77743975975801,8.0
30,53662.111827826,52915.150978462116,22.0,111.83783504202701,8.0
31,32650.584031738996,1736.117001092734,244.0,132.6567704463164,8.0
32,51691.70435125049,50534.4611791934,12.0,111.55054398657961,8.0
33,6669.637331102471,1468.2101019270012,-4.0,97.98831229013395,8.0
34,20575.712415601705,734.6340870697884,-34.0,107.94232481022095,8.0
35,42839.005315362876,6926.1171154870635,311.0,131.13003143907645,8.0
36,31068.51871912156,6339.886247491687,37.0,126.59429364843601,8.0
37,56925.26593569301,1178.2962152776142,123.0,114.15397382822479,8.0
38,60750.787502584084,729.7159235740608,264.0,140.84605493927313,8.0
39,44821.49724712986,43925.56220974625,27.0,111.41131607604838,8.0
40,34098.15572579886,1179.57475710254,77.0,111.92364775033336,8.0
41,38129.55954708488,37016.45454510606,12.0,108.71348414628233,8.0
42,42626.50065421384,41765.21034110742,27.0,110.98210154130139,8.0
43,44391.185849315465,19057.298369266155,112.0,132.85556821899388,8.0
44,63961.83727482704,20404.70455824211,607.0,133.85515288268937,8.0
45,45548.086973508,44647.60267814967,27.0,111.54884990790046,8.0
46,53748.874580997064,4310.6607379883335,315.0,135.27902135957976,8.0
47,17809.971346122733,16898.7132747302,27.0,103.60209566746079,8.0
48,31483.030361663736,29332.767559607084,6.0,106.91236597258313,8.0
49,53618.298580747614,5200.013728968036,548.0,124.02035254283109,8.0
50,37936.62318072248,37012.79691576912,27.0,109.9871836737819,8.0
51,34986.293417684275,21269.2175825506,567.0,118.16174654614821,8.0
52,39779.4041811996,32952.99189308975,58.0,113.9842544083617,8.0
53,51131.589752047934,4852.733813140337,153.0,114.80095763120406,8.0
54,13261.245084447162,9793.688482258976,10.0,99.51390260308787,8.0
55,46024.28378037952,732.2019380012443,190.0,134.5832650247217,8.0
56,10926.093004647913,9791.478307036497,12.0,96.69178372476838,8.0
57,42376.450916077316,2881.197665245972,263.0,133.1987320498015,8.0
58,4721.876378216673,1180.386000335891,18.0,96.22577153673487,8.0
59,23491.29744134593,16884.208292503874,25.0,107.80457288323232,8.0
60,36611.208458339046,6838.934414058157,191.0,133.11122377032405,8.0
61,27092.90411728473,924.6019618878425,134.0,129.23256465380115,8.0
62,44475.188827093785,8353.245291232564,276.0,126.16423828494015,8.0
63,25415.087262309138,14467.678562503423,337.0,123.83411021866246,8.0
64,9788.586385674895,734.4032651257,186.0,121.83247451591649,8.0
65,45548.74153484519,5200.836731025841,288.0,129.8778505590367,8.0
66,55086.54449602786,41371.937885888496,572.0,119.44036696514847,8.0
67,24213.17013802606,12611.099195850697,-306.0,112.2960338428625,8.0
68,34246.65967124176,32452.110244936215,37.0,109.74144288724533,8.0
69,41306.661572956036,40129.068203291485,11.0,109.39456059565909,8.0
70,31972.797664901653,1181.9854926827597,104.0,125.4032913070987,8.0
71,37028.46703520156,35920.347345387454,11.0,108.36736812203786,8.0
72,20358.62784850276,13507.219207599164,35.0,106.37488523473847,8.0
73,49422.39412653895,1990.6678478691108,232.0,145.64128598926652,8.0
74,38082.896623022905,27131.410031401258,337.0,126.28299701983593,8.0
75,45007.160046889585,42138.092336265574,28.0,111.29217829079202,8.0
76,42939.579124966825,40028.926740204086,8.0,109.82450929573585,8.0
77,13301.807683435467,10916.624782092666,5.0,98.62683208849167,8.0
78,11163.564632426787,8282.00970946127,8.0,97.55429319349636,8.0
79,29411.65700675172,1737.0217108120191,174.0,140.05999989465028,8.0
80,25084.89849153538,2390.053245110244,195.0,128.14607715348527,8.0
81,29357.600701855717,19123.044919903383,214.0,105.01111497691797,8.0
82,17979.393943317114,1181.241361952403,157.0,124.76032777137581,8.0
83,32392.35880797615,14810.810486952587,203.0,131.8238029850641,8.0
84,55543.58263633368,4730.794744724518,528.0,137.364370321865,8.0
85,43816.139312321946,4299.69918639483,97.0,115.90151624141734,8.0
86,43963.364549800724,9218.576650227218,392.0,118.58552473757133,8.0
87,47965.19572091391,47056.5040346785,27.0,111.99131842945653,8.0
88,60830.83920700497,924.4533246921296,46.0,134.9325407794091,8.0
89,42664.54058383991,12925.106283885265,289.0,132.1730469113483,8.0
90,24580.50717303223,23677.0620420559,27.0,106.3050302774764,8.0
91,53211.034980726545,52036.86799814857,12.0,111.81915697158773,8.0
92,37182.32713153413,1178.7401325482429,56.0,128.87162241717175,8.0
93,20320.659072074424,19144.274471120203,12.0,102.74352075561934,8.0
94,39635.90409184058,4592.012073854061,186.0,118.63534608299395,8.0
95,46925.98587342872,39387.7164412025,42.0,118.0434420278801,8.0
96,57765.60726962459,1178.2962152776142,123.0,127.57349210770084,8.0
97,48254.6446716643,47351.474877056186,27.0,112.04282490165882,8.0
98,37915.26099268951,35142.123751641586,39.0,114.66051309056428,8.0
99,41917.038762718395,39529.440022544615,5.0,109.59945887621146,8.0
100,64693.21072698136,63954.33700136479,22.0,113.57067083818377,8.0
101,22327.22806407349,3077.2413952715056,-113.0,112.0436951449915,8.0
102,36150.679242574435,35325.06842930946,27.0,109.57621531935172,8.0
103,35939.97774396407,1181.145778404651,61.0,117.84692397718223,8.0
104,43014.32322800928,2870.0243127812596,228.0,131.8526920281658,8.0
105,37752.956622144455,1178.8794952312555,82.0,115.68371924506278,8.0
106,29416.541103516338,1182.2941760082183,275.0,126.95227422855861,8.0
107,41910.942073374936,39756.64648688582,6.0,109.59792588336785,8.0
108,37973.2256995797,36793.60311726154,12.0,108.67455441869015,8.0
109,20633.605240946894,4404.271066024658,-205.0,109.98614819198664,8.0
110,34217.63587929223,33293.322750033134,27.0,109.10835094570473,8.0
111,42632.039146747324,41709.728465301356,27.0,110.98321166634722,8.0
112,41188.90305133496,40339.26855180552,27.0,110.68904859809554,8.0
113,39252.548440938815,5196.42739196111,625.0,135.42803508493296,8.0
114,47843.25082798234,42004.04062689003,25.0,114.22991393570162,8.0
115,14788.187721868897,13924.739807600121,27.0,102.05906553416776,8.0
116,31721.19506182986,27779.712644262116,27.0,108.38967158774446,8.0
117,52460.72395982407,45625.709196947944,58.0,116.4298797077605,8.0
118,34591.84523880342,33677.76200717676,27.0,109.20090947418234,8.0
119,25299.978131651544,7109.1849568754005,196.0,126.55522861452764,8.0
120,30950.496948440028,2363.67484420855,92.0,131.32647774530167,8.0
121,38358.23614068337,37444.76544237841,27.0,110.08143198259688,8.0
122,48637.18745307059,37043.08078593734,451.0,114.78895991758955,8.0
123,33414.74360351498,1738.1881901653844,323.0,133.30098793469216,8.0
124,55540.69166207594,54741.52734883673,27.0,113.2479539545708,8.0
125,42684.935484127265,41514.73770197495,12.0,109.7687050145722,8.0
126,50054.40543420325,924.5985314000814,16.0,124.71944707392072,8.0
127,38476.85119946795,37566.24889997942,27.0,110.10776432156517,8.0
128,23605.274240452403,12999.245478802439,337.0,123.42521317297494,8.0
129,26715.04268256819,25820.035763426506,27.0,107.00842777683658,8.0
130,44733.66802267581,42353.96572654948,5.0,110.20626065487167,8.0
131,36994.33644167337,34082.43101505799,8.0,108.42968460636929,8.0
132,21291.354527239033,19640.320926270993,10.0,103.192284621533,8.0
133,45356.56363982725,44566.883543100725,22.0,110.27048967986613,8.0
134,23044.1452278464,22441.48476240966,-768.0,99.90476081237738,8.0
135,23606.188160370024,9956.217215966097,101.0,126.24750289287796,8.0
136,7164.66081413914,4109.608076404457,11.0,94.37509855055572,8.0
137,46038.86100849858,1733.1482312729029,197.0,132.03144139120133,8.0
138,10421.611595282911,1736.0097206213131,159.0,116.90882505558699,8.0
139,35504.88770753012,25268.133119053127,214.0,107.19147638269192,8.0
140,47189.50019700122,2381.473295711666,20.0,121.05700502794767,8.0
141,50060.1365564526,924.4584785269068,85.0,138.37735808101965,8.0
142,54188.22576898021,36923.565639679415,245.0,126.764298742899,8.0
143,51478.92913861881,1183.4973855456583,302.0,137.12618307799391,8.0
144,52824.76418740515,2365.4191129020537,468.0,152.93435450654127,8.0
145,67937.53136291556,1177.503999693367,150.0,143.82193984873305,8.0
146,43024.43580055913,40889.84469518546,6.0,109.8429584703628,8.0
147,33931.890504224866,32119.83435084452,37.0,109.66375393867948,8.0
148,59488.392566484006,737.2123150332098,169.0,160.70838322560027,8.0
149,11672.669160366446,1733.4048442081207,36.0,101.7247326630896,8.0
150,30893.017352778625,30121.96460792591,22.0,106.86631663591388,8.0
151,42831.32025717906,41400.2853002645,20.0,109.7345595304535,8.0
152,22493.1840637934,21621.07992781257,27.0,105.55743209710867,8.0
153,60128.475409875704,58949.316921392645,11.0,112.89356059750747,8.0
154,13026.948800964636,7432.874001184291,38.0,105.8927041090104,8.0
155,31557.822493493808,28688.730643626848,28.0,108.31215158507622,8.0
156,54550.19997280569,53398.80766414067,11.0,111.99036780026643,8.0
157,44261.91952007196,3976.916866787959,52.0,122.01877121974204,8.0
158,41358.33552795317,5193.497153094297,445.0,132.90214023533267,8.0
