,R,D,H,PL,F
0,34246.038519072186,1768.833014115904,372.0,199.16727903763112,10.170261715394957
1,46088.84216361433,1191.2073915186731,8.0,158.20048355908554,9.32221929473392
2,21318.760654402875,924.676228987527,20.0,163.85379356462394,9.852784868680548
3,60203.80205124634,9098.167682943162,210.0,175.3408375035458,9.544068044350276
4,38645.35644586146,17060.303179379396,-82.0,136.84489389031143,9.255272505103306
5,41658.424196715816,7132.968236579164,552.0,172.69725803599445,9.255272505103306
6,60709.20632010904,58333.08200802664,-165.0,151.51810863327998,10.170261715394957
7,40689.74659505721,12020.252006703786,268.0,171.4232545838798,9.544068044350276
8,49906.40544907688,3581.6347637780777,195.0,195.54502657679916,9.255272505103306
9,27256.785470806357,12662.504722327485,364.0,181.2529471309338,9.852784868680548
10,42174.55571030736,5952.398956883051,313.0,190.8440881121249,9.255272505103306
11,37634.57956125844,3763.5079262871313,246.0,194.18700504358736,10.170261715394957
12,51720.91711102404,924.6103899582396,222.0,191.81063412322965,9.852784868680548
13,56847.58682750363,8857.28600795137,171.0,183.0957800593136,9.32221929473392
14,16231.088367470671,924.6018997730492,90.0,159.2258349923478,9.32221929473392
15,11166.048195030564,10459.199147006051,66.0,153.2830103048947,9.544068044350276
16,12281.27262936997,10288.670178004611,-18.0,131.2883480411669,9.852784868680548
17,40708.479710321066,1849.1049186267078,151.0,210.759494020168,9.852784868680548
18,37790.232593526125,1997.3742099737071,241.0,158.81996098018425,8.954242509439325
19,33569.812876321164,9214.599168054938,202.0,182.461685386785,9.852784868680548
20,55541.01676925538,749.6775945634056,205.0,184.216836602658,9.544068044350276
21,45703.15435697458,755.01598900706,154.0,187.54544386908915,8.954242509439325
22,43735.35048930845,31828.929343806365,75.0,157.81932616108054,9.32221929473392
23,29416.423171874132,752.5146166858949,84.0,180.7194976633932,9.255272505103306
24,49011.064803961046,750.7051844222319,30.0,211.59893511583564,9.544068044350276
25,30861.86583126238,9462.828050991478,156.0,183.88460966800096,10.170261715394957
26,37938.707649580785,9276.695474873839,300.0,191.18778411748374,10.170261715394957
27,38175.42413799679,3580.8990128488736,286.0,167.4280633386652,9.255272505103306
28,49974.91446805112,13292.655206578605,114.0,189.81565585112617,10.170261715394957
29,27460.655673775775,750.8024712760302,168.0,195.16393103783807,10.170261715394957
30,67516.42646443211,924.8931643545415,110.0,170.09133975722216,9.255272505103306
31,21255.817390061464,20510.165385044544,56.0,151.71444981091454,9.32221929473392
32,33173.36991948924,23037.303433053225,81.0,144.50915526694416,8.954242509439325
33,47341.66139933768,5286.248890842362,281.0,166.8869891074194,9.255272505103306
34,18585.00640773924,5143.337456081751,207.0,186.19539640627553,10.170261715394957
35,29355.17715076811,1504.7161943234355,49.0,171.5857322087706,9.852784868680548
36,30594.09467584739,16710.061751226287,5.0,159.2633220843341,9.255272505103306
37,44388.24111768482,1849.1570762829504,147.0,174.44618910669627,9.544068044350276
38,21418.85555560769,1193.6484453711312,109.0,163.50650746272967,9.255272505103306
39,30994.286169599385,30264.432675098757,67.0,152.93713287150865,9.255272505103306
40,41715.88156575781,18553.427578354484,374.0,173.3510707857324,9.544068044350276
41,57357.55869520212,2874.6868446544195,102.0,190.06007529443073,9.32221929473392
42,55600.226716573015,2379.3997840476513,171.0,216.80358899774092,9.852784868680548
43,36269.36833298852,1770.7431429920734,333.0,173.03835644255525,9.32221929473392
44,21788.83520154432,3148.030339115116,15.0,177.49833062304293,10.170261715394957
45,37459.76845699854,2915.063535911425,148.0,195.37330333494447,9.544068044350276
46,49412.090316910784,28863.942004066124,245.0,195.7973526079749,10.170261715394957
47,41168.24101913316,1507.1874036863276,113.0,178.74040645987478,8.954242509439325
48,33648.20871448712,32925.769590589756,67.0,144.6284686160436,8.954242509439325
49,42990.939337580814,7478.922493715867,443.0,146.17901189173887,8.954242509439325
50,41650.70986452291,40903.204057969284,69.0,146.43529538277144,8.954242509439325
51,18510.911020522704,16148.909028018115,14.0,150.61252977603428,10.170261715394957
52,53697.79702203941,5510.624570283264,57.0,162.60332824811547,9.544068044350276
53,15034.369643500828,752.8772352571175,11.0,151.66769165225156,9.255272505103306
54,29087.770101566693,7983.83958207573,261.0,162.9780823586375,9.32221929473392
55,55438.49637444817,749.7443543231389,20.0,175.57567127423448,9.852784868680548
56,43133.47554620537,9459.171673222723,613.0,173.36143821105676,9.32221929473392
57,43618.13391328707,36595.37579278748,124.0,155.81693332138292,9.255272505103306
58,36745.4436648671,924.6160945667373,199.0,188.03398815337675,9.852784868680548
59,23309.731254013932,924.5848239095541,44.0,150.73111896583742,9.255272505103306
60,40931.87482054129,924.6190505841802,314.0,194.5451623485656,9.32221929473392
61,26823.947925860975,924.6920527800174,39.0,197.4870647326567,10.170261715394957
62,35586.56136419061,14373.411965030735,4.0,184.68722779379715,10.170261715394957
63,49991.81867641392,1194.572641828615,43.0,180.97705300488576,9.852784868680548
64,45328.20241573829,3698.0795061616495,292.0,177.57909658960648,9.544068044350276
65,34898.449743978694,27878.413988877917,125.0,154.21793363041934,9.255272505103306
66,45441.21130816949,924.5658622676939,128.0,194.63133450856543,10.170261715394957
67,56815.87281702634,1998.0924530037928,37.0,221.25993054539822,10.170261715394957
68,64395.648211304935,924.8826323409872,45.0,164.0771811668498,9.32221929473392
69,24841.733137164232,24089.29397833434,53.0,141.98847401428293,8.954242509439325
70,61494.03476953146,1190.4806272127348,162.0,170.7340432882563,9.255272505103306
71,33707.630549063884,18273.6163515235,283.0,167.4261108865869,9.32221929473392
72,15096.243262752903,13139.44758051107,-46.0,121.1306110337272,9.255272505103306
73,62655.32581422127,1189.7584503448134,30.0,171.4545352279745,9.544068044350276
74,12625.572370629869,924.507022356981,82.0,180.7939281023705,10.170261715394957
75,56461.93849501956,3989.414628210638,102.0,196.53980967690921,10.170261715394957
76,39090.84065215258,1762.6322392072884,185.0,199.1560986024958,9.32221929473392
77,46771.70626503759,2436.3867488768205,346.0,200.07053052238388,10.170261715394957
78,38734.36692172035,16219.704066681155,318.0,194.3979555633982,10.170261715394957
79,51490.561962980006,10531.399194415042,96.0,174.50029501452929,9.255272505103306
80,9517.816378031193,1996.921826123845,-6.0,124.09073649603188,8.954242509439325
81,63861.200122667826,3568.816418060521,180.0,206.2185308441032,9.32221929473392
82,59234.934124836815,757.0022116452438,64.0,185.66982163712626,9.32221929473392
83,26160.81130538652,4683.898982599715,249.0,181.60513537383304,10.170261715394957
84,20549.59056785399,3157.1531235970483,17.0,181.67000670168323,10.170261715394957
85,48907.76751243911,924.5869907668715,116.0,158.75073397978468,8.954242509439325
86,50387.718212804866,35589.88989177627,168.0,177.391148670376,9.852784868680548
87,32318.856251513553,3539.132297749236,23.0,155.30006080594796,9.32221929473392
88,16947.438244579866,4095.599425262441,275.0,170.482968467185,9.544068044350276
89,37938.09303929303,1996.0725290768587,5.0,141.4995825181941,9.32221929473392
90,4193.328362075121,3532.913378987133,-63.0,128.30419496031854,10.170261715394957
91,34341.2114390042,3698.069046479513,106.0,161.90371806491407,9.255272505103306
92,19226.400894593247,1191.7124404879364,43.0,149.99807765045972,9.255272505103306
93,39662.864392806,38920.980735533194,68.0,172.95150456372454,9.852784868680548
94,33136.96356704126,32384.7854182235,65.0,153.48549537796805,9.255272505103306
95,45808.57580919321,756.0025634969059,168.0,180.68097985697716,9.544068044350276
96,6299.552004798092,5584.557592127233,18.0,138.84503415567144,9.255272505103306
97,54633.44709706384,1194.7971418045504,190.0,173.1385484175347,9.32221929473392
98,59293.224886849996,20611.427544025384,222.0,176.79408349006954,9.544068044350276
99,42201.59252131098,924.5350449481059,65.0,180.002065356608,9.32221929473392
100,46328.00731766753,12184.816539238313,81.0,164.9942167235797,9.544068044350276
101,34238.53883002484,26055.434439027416,100.0,162.43514252945698,9.544068044350276
102,20536.605780967457,924.5210023608556,148.0,153.90463839148597,8.954242509439325
103,61222.15454225415,2380.2375670048996,17.0,159.9678571638552,9.32221929473392
104,29924.14318405527,29400.31026265667,56.0,161.23571541765136,9.544068044350276
105,61172.687948829975,44217.286204752025,-473.0,175.93841255072616,9.852784868680548
106,53345.57821217636,924.7269616373047,278.0,178.07071490496506,9.32221929473392
107,51940.418601429694,4327.762596344439,35.0,176.80682084137274,9.852784868680548
108,59192.21891030251,21143.32207232631,315.0,187.73764259820155,9.852784868680548
109,30624.462599020626,7754.845328854748,298.0,166.91195159343624,9.32221929473392
110,51329.40536133672,50760.112677888064,-65.0,165.33734533938087,9.544068044350276
111,15011.651590089288,14336.661147307892,68.0,155.65676687104306,9.544068044350276
112,39691.16842153069,33599.22989591199,74.0,172.96243139725001,9.852784868680548
113,48430.88349041003,3153.2982874224836,54.0,165.14961850492818,9.544068044350276
114,5989.775742156736,4862.17041146901,-15.0,131.77701095357975,9.255272505103306
115,32513.378334205234,25501.459405407695,124.0,181.19278257912453,10.170261715394957
116,46489.24522989606,2873.2628291399456,111.0,150.7993578316967,9.255272505103306
117,30922.36771635656,30171.230884422992,64.0,152.8990046004365,9.255272505103306
118,45251.406391442564,4603.620693297949,127.0,181.49290460787716,9.255272505103306
119,50204.35402263218,23224.442614438718,29.0,130.40035800020524,8.954242509439325
120,50872.3088896284,7396.028014787251,315.0,212.17135801750487,9.852784868680548
121,36999.42641427347,1849.0438137521512,168.0,167.3072198776335,9.32221929473392
122,43336.22156620971,3145.8296879093946,47.0,172.68082498452802,9.32221929473392
123,51780.444996075246,924.5744860116528,45.0,157.5261801784518,8.954242509439325
124,5955.851184222241,753.5636590567328,61.0,147.6850014721219,9.255272505103306
125,44720.53066133583,2874.8883746714464,172.0,174.4493233748149,9.544068044350276
126,35577.73048535698,15464.351432054995,139.0,156.8923936874379,9.32221929473392
127,14586.687136520839,13481.217229383881,-80.0,140.62016984170435,9.32221929473392
128,14022.180198377864,13424.279087317995,65.0,173.88604783044252,10.170261715394957
129,22393.382169651915,2874.5787238532143,21.0,158.37023364715773,9.255272505103306
130,49578.38141582245,924.5624417235305,58.0,185.2161575828873,9.852784868680548
131,44870.33414495477,1997.679412706963,121.0,166.19736746041502,9.255272505103306
132,12927.922316511462,12183.774118025494,58.0,154.32063312066987,9.544068044350276
133,21278.659054958043,18931.504098075595,-80.0,142.41190264944038,10.170261715394957
134,31662.478273832585,9722.051124134156,212.0,186.57203910200693,10.170261715394957
135,18904.447124896105,11886.452470184568,121.0,168.2905427058778,9.852784868680548
136,11032.073466222999,8665.161845814477,7.0,119.161941523512,8.954242509439325
137,53543.65485390157,5140.946923601571,91.0,175.9843417803948,9.852784868680548
138,51827.1517807199,3698.626109404944,50.0,155.12245566073125,8.954242509439325
139,23668.76487128394,2382.897367378936,18.0,137.2134516484708,9.32221929473392
140,28664.917348103274,27996.13629480353,59.0,154.23713884196883,9.32221929473392
141,15769.027961398253,15201.447332915652,-131.0,135.69119062805436,8.954242509439325
142,26507.31383529664,9086.856656513637,62.0,148.97606565340317,8.954242509439325
143,38563.742729623555,37905.888567886286,-59.0,181.5877203522122,10.170261715394957
144,19034.500122369303,1996.2727409745085,34.0,164.2489690634982,9.852784868680548
145,55192.46211782356,2389.313423369802,239.0,186.53905532096778,9.255272505103306
146,44989.90060612555,8770.351183758754,55.0,184.53447504992442,9.852784868680548
147,25684.61640814185,1193.9780301189046,61.0,190.7315455166726,10.170261715394957
148,50642.77907816405,924.4039707268132,58.0,184.08514889249057,9.32221929473392
149,43368.0415617338,20558.131054971785,186.0,158.23910514354273,9.255272505103306
150,27868.949499450282,6301.870747572083,280.0,166.50833546045902,9.32221929473392
151,49974.91446805112,13292.655206578605,114.0,171.00296445414693,9.544068044350276
152,49665.73611429053,1997.7007654641882,231.0,193.6813855189065,10.170261715394957
153,43388.63609201405,924.4113235475696,63.0,200.11127570251688,9.544068044350276
154,49832.1747649565,4684.426934002325,148.0,162.84897517457955,9.255272505103306
155,59778.25408933704,28900.8273086575,-20.0,209.18247822370614,10.170261715394957
156,17549.71054458997,2383.3519497220627,198.0,189.60094947878008,10.170261715394957
157,46070.48506459466,11653.859203188782,310.0,172.8610466070791,8.954242509439325
158,22576.61800317344,4335.45578821003,57.0,187.74372721746795,9.852784868680548
159,11290.841116667658,752.4061646434757,113.0,146.13399667831177,8.954242509439325
160,48787.55781954768,1194.3089595346937,91.0,201.91650863171674,9.544068044350276
161,56918.30892081492,1771.5929275866883,171.0,187.60220095159463,9.255272505103306
162,30528.61731814015,23505.65356891652,119.0,161.8501660455089,9.544068044350276
163,47919.732472042284,754.8484404362395,168.0,214.5453618589222,9.544068044350276
164,22601.2886074682,1504.9091385547213,57.0,166.97533531289577,9.544068044350276
165,48631.090156552644,749.6281012191246,33.0,166.90551039147792,8.954242509439325
166,28605.271009759457,27852.832090148226,63.0,179.717837390552,10.170261715394957
167,48103.36149810051,19431.78980639302,275.0,201.36516813884273,10.170261715394957
168,30394.01636608881,15795.697590155767,333.0,130.69254769287033,8.954242509439325
169,6471.996455202673,924.5355688526067,30.0,150.47778388274173,9.544068044350276
170,36806.63004995164,19884.123793188308,242.0,155.3378633030809,9.32221929473392
171,38459.692327684745,1997.3046254666388,197.0,157.2681065115079,8.954242509439325
172,33286.92344115892,751.5248999900573,37.0,183.22495149239967,10.170261715394957
173,25617.68600308107,924.6302576616303,104.0,152.86057690826027,8.954242509439325
174,56076.17873544227,7132.415236097241,89.0,155.60438487461616,8.954242509439325
175,54237.415026667855,3995.699888870319,199.0,227.44163534904817,10.170261715394957
176,35569.43481917403,12426.444835828785,154.0,157.78925188846227,8.954242509439325
177,49834.72993852499,2380.833248681397,0.0,140.47131055132266,9.32221929473392
178,46537.8366862593,3582.6881189410133,92.0,159.7193013056351,8.954242509439325
179,55428.5201740124,4339.318437397598,263.0,156.03129507242448,8.954242509439325
180,33593.41303776438,25403.4929437165,101.0,155.62417374261676,9.32221929473392
181,40000.6968063025,5746.637012474569,187.0,164.75738125819092,9.32221929473392
182,61016.538368536516,58652.626275064955,-229.0,151.5619688361308,10.170261715394957
183,51780.0680380233,1849.058497829982,94.0,210.9543140230818,9.852784868680548
184,21596.24069502841,924.6128798999009,34.0,160.89175373345108,9.32221929473392
