,R,D,H,PL,F
0,14362.999331299752,9817.764791502655,121.0,170.8398722785718,9.852784868680548
1,54493.04266965186,8139.069563590152,478.0,199.2883613835602,9.544068044350276
2,40690.475317241224,13997.508947035529,403.0,156.08664394626192,9.32221929473392
3,42240.69293030411,23127.43117956394,512.0,185.86655990030158,9.852784868680548
4,56107.56949724662,5227.039725438885,102.0,197.41152384620622,10.170261715394957
5,34969.754069556875,1186.6965363596928,272.0,170.39075994940325,9.255272505103306
6,34137.158509163724,924.626110965605,110.0,183.22763202425958,9.255272505103306
7,30632.575236837016,2368.2055561341763,139.0,160.28738518469135,9.255272505103306
8,27180.057303274112,2368.5570135308094,102.0,181.63541977866169,9.32221929473392
9,63162.19491225007,13066.689752584189,218.0,208.48486932104598,9.852784868680548
10,20529.167416124717,924.5501165317919,133.0,188.3652131789488,10.170261715394957
11,26191.517727004342,1993.001440502898,107.0,149.57547903072782,8.954242509439325
12,13352.52827907598,8159.339046447264,69.0,165.8685718357263,9.852784868680548
13,43073.16477856445,924.4781691764662,136.0,169.68743157979236,9.32221929473392
14,20115.365450387195,742.5190618548752,196.0,173.51977220979953,9.544068044350276
15,58658.43675218613,924.502670082543,50.0,181.13363588558792,9.32221929473392
16,43461.357018786955,15718.125425720324,628.0,188.30282953041163,9.852784868680548
17,36476.54290985525,17360.07964113955,505.0,167.17146409010388,9.255272505103306
18,41562.833601758764,1991.4691885450648,209.0,159.13948123957056,8.954242509439325
19,59198.68870353434,3548.4922127831856,67.0,192.00820461966106,10.170261715394957
20,48440.46101853129,17706.2634665934,766.0,200.1368347065437,10.170261715394957
21,28558.493179396784,741.149641199814,68.0,194.21212823187528,9.544068044350276
22,31169.750045768804,742.4236273905271,30.0,159.85283672724736,9.32221929473392
23,9809.26273088979,2371.6754257199327,176.0,159.6009782208066,9.255272505103306
24,51209.34937745737,1187.857119206703,79.0,226.2596340889973,10.170261715394957
25,28300.991491568508,1183.8534284510802,81.0,176.3717647146768,9.852784868680548
