,R,D,H,PL,F
0,55714.35841704926,25995.06229901657,73.0,159.91786432290564,9.544068044350276
1,6504.7330225841515,762.9410302025846,15.0,136.45932104532918,9.255272505103306
2,64548.57196643132,2391.706129112062,69.0,188.52539121898766,10.170261715394957
3,28556.379784135705,15100.557727207331,30.0,166.5678780507588,10.170261715394957
4,59262.966822963775,924.7370786882561,28.0,163.1670868207558,8.954242509439325
5,49146.25712706428,2001.954079289893,26.0,173.67309236131513,9.544068044350276
6,28668.010260459112,12946.982460678251,47.0,162.04724753270835,9.852784868680548
7,17689.0578835447,4126.329237539997,37.0,137.77299169696468,8.954242509439325
8,16615.630582005604,3164.910270960902,30.0,140.5424519629753,9.255272505103306
9,47180.026641223325,13726.963285030979,87.0,155.21809321687692,9.32221929473392
10,47979.99586054177,9113.456768031554,10.0,144.31200692499772,9.32221929473392
11,52059.60205720099,47382.74163361839,48.0,177.83102032634955,10.170261715394957
12,27879.681816446624,26786.050476907578,9.0,136.2732781090391,9.544068044350276
13,38830.38860253374,4686.203728273073,48.0,158.83975153313438,9.544068044350276
14,53257.45775150831,7436.899474393931,229.0,182.84398502130364,9.852784868680548
15,30304.537705629005,3562.8391299061464,26.0,187.7181404666745,10.170261715394957
16,16559.5667316839,5355.343462635921,188.0,163.96432707660819,9.544068044350276
17,47713.6425230717,8262.148226330612,108.0,208.9949501964693,10.170261715394957
18,38380.51743292795,4799.7986663883785,225.0,172.69646362743794,9.544068044350276
19,58089.6655175609,1998.7754568633566,49.0,179.61697020802018,9.852784868680548
20,35629.49005902254,6709.6462294641,209.0,153.23158806668076,8.954242509439325
21,46273.03072314757,764.68664852398,49.0,187.749007029855,10.170261715394957
22,24838.801324832122,2398.5815029579785,53.0,150.11133228534968,9.255272505103306
23,39758.26869197419,3185.435018848103,48.0,174.06192368697833,9.852784868680548
24,46798.52453999579,924.90041781079,44.0,175.28843221804254,9.32221929473392
25,54303.77989498282,46660.820890140705,-68.0,186.49845963841886,10.170261715394957
26,69597.48989217627,27616.64775376408,318.0,174.63483390100996,9.544068044350276
27,12030.008770494687,5349.61152748747,138.0,178.13829681650446,10.170261715394957
28,33676.04675066047,5339.5423412176715,80.0,147.27705204847112,8.954242509439325
29,25982.70714782953,1524.0113824477783,93.0,166.07662924518567,9.544068044350276
30,38487.80065383852,6372.396320086863,87.0,156.2214847605483,9.32221929473392
31,22566.80377167735,10249.277287990048,65.0,137.38551703232983,8.954242509439325
32,55414.66076196144,2392.3175947787595,37.0,188.71366224266535,10.170261715394957
33,47217.086899996204,12045.732914111428,33.0,165.34893135789628,9.852784868680548
34,48906.986380877344,12400.906865748691,76.0,143.74462868178463,8.954242509439325
35,30069.60024792898,22519.12241859388,18.0,140.93628995441009,9.544068044350276
36,44124.37853711832,1527.862191382947,42.0,182.53972650795782,10.170261715394957
37,57322.304509540634,4003.6597626202656,340.0,179.98054038246005,9.544068044350276
38,48195.86297553707,6651.688157939814,54.0,157.02955135046523,9.255272505103306
39,35694.54071951121,7690.266374709887,148.0,148.6463690698131,8.954242509439325
40,43197.15120250928,1527.590701457399,63.0,179.56722115223562,9.32221929473392
41,49301.2242950391,7437.101423042905,174.0,152.770613513903,8.954242509439325
42,16644.353336520766,11486.487470482542,11.0,141.99346775131448,9.852784868680548
43,7657.411116735247,5353.133605942154,60.0,168.3409799689177,10.170261715394957
44,33768.719552999064,765.013344282898,9.0,185.57918439175052,10.170261715394957
45,51439.75300552019,11145.008172733595,221.0,190.70769540992018,10.170261715394957
46,59152.91939532076,16568.45984749478,151.0,159.22449518781988,9.255272505103306
47,45935.53769579221,16636.205232477478,59.0,176.31220781848145,10.170261715394957
48,52446.48483645445,16513.59586073023,83.0,144.22955396239186,8.954242509439325
49,41642.72091209121,39794.46711192408,-220.0,124.97606694219496,8.954242509439325
50,38281.548797007265,12037.429112931975,33.0,149.38521085826878,9.255272505103306
51,40754.067323997246,38907.5603693585,-182.0,148.05643670085803,10.170261715394957
52,37431.59107030183,25916.097303034057,172.0,148.22364012093263,9.32221929473392
