,R,D,H,PL,F
0,32277.898605166065,735.6408243881591,5.0,152.40242648229545,9.32221929473392
1,41377.81576367678,15915.351694625366,135.0,163.67265019911082,9.32221929473392
2,49718.288092535666,925.0452696256131,38.0,160.2771884771162,9.32221929473392
3,33955.66638515359,2393.6969146386273,10.0,152.90526008017366,9.32221929473392
4,57672.70425953636,4036.03672302796,343.0,174.31112400738562,9.32221929473392
5,9937.107370579768,1740.178097081649,146.0,155.00599865084965,9.32221929473392
6,40360.418763742746,2877.1382408098953,96.0,154.37875260455147,9.32221929473392
7,68778.57032842869,3539.291452083516,143.0,158.53941116086395,9.32221929473392
8,23291.90689217085,6690.177862514486,136.0,156.74381632971384,9.32221929473392
9,45238.31371358814,2871.776759333943,79.0,163.0892867177109,9.32221929473392
10,12237.331385519428,6282.286082008276,7.0,131.55226811850977,9.32221929473392
11,5549.450345975281,3699.5916820276,-5.0,121.35079951140777,9.32221929473392
12,39020.41154401204,12046.553507867444,322.0,166.8169608317297,9.32221929473392
13,6639.806789880456,4853.502516964423,-52.0,115.3352779590137,9.32221929473392
14,10267.671382406115,3799.120129002627,23.0,139.29684099563218,9.32221929473392
15,53296.42371723437,16153.534028572964,62.0,153.77142007677872,9.32221929473392
16,50115.29999174047,19156.092561747868,-17.0,159.57274615107013,9.32221929473392
17,33554.0427620556,925.0659315437821,17.0,151.16711248314655,9.32221929473392
18,39151.8002216687,1180.7284611308487,80.0,163.85136443143028,9.32221929473392
19,33257.429880940464,2397.0948009854897,137.0,178.7580820562497,9.32221929473392
20,44458.48547118383,3472.282687538563,87.0,163.37115152241762,9.32221929473392
21,45017.576769137915,1180.3923247304576,9.0,155.8713527382308,9.32221929473392
22,57390.86340489044,16134.51567037571,76.0,162.95841975240214,9.32221929473392
23,36259.35181417745,1849.7998736813363,40.0,162.99681871987457,9.32221929473392
24,41578.88769493512,5210.95477853141,153.0,164.54257423475363,9.32221929473392
25,28180.119798313106,3476.4230046726957,62.0,134.85929095744524,9.32221929473392
26,55156.033065352385,46887.148770788706,153.0,162.647566746467,9.32221929473392
27,5911.718921039604,4728.987315490293,-10.0,114.32644465425847,9.32221929473392
28,24744.344633506724,1182.9038035125955,67.0,157.79952379659548,9.32221929473392
29,52579.6627542375,4056.8123560389045,196.0,169.7552206158282,9.32221929473392
30,45245.25644447775,23198.95091030626,-69.0,159.01634960944398,9.32221929473392
31,46119.009149402045,1179.7553289815153,67.0,168.84400665873602,9.32221929473392
32,34442.68848991907,3139.129045249849,120.0,177.41223185310105,9.32221929473392
33,24469.890924063693,1473.930749278057,198.0,165.71521568456427,9.32221929473392
34,40903.163596276056,34262.74436803448,60.0,155.08959957456827,9.32221929473392
35,40512.73031961213,28909.30898310052,39.0,146.49655256249562,9.32221929473392
36,57500.517721362434,11643.735896183638,33.0,155.19221891890808,9.32221929473392
37,40406.271273189515,738.4339236368128,116.0,168.5326268433795,9.32221929473392
38,48788.32967422375,2369.428486995537,75.0,171.61051774697827,9.32221929473392
39,56452.02086362512,5750.794220349142,71.0,158.04369369388394,9.32221929473392
40,53646.40841091583,1990.2334951266014,30.0,157.33068840064558,9.32221929473392
41,58291.57183613946,16151.950053892406,-48.0,162.62600221482046,9.32221929473392
42,20825.926293055287,14182.306142239178,69.0,150.20195044336305,9.32221929473392
43,43714.86548554016,4517.041871260538,323.0,170.3988723016073,9.32221929473392
44,10434.632434859683,736.7148103463556,23.0,143.77310676531832,9.32221929473392
45,29079.67556147324,1471.969153221434,10.0,151.6119874294437,9.32221929473392
46,53238.3163778345,27784.587161846186,-12.0,165.17036139309067,9.32221929473392
47,21361.139205842752,736.2850695476831,28.0,150.4766272452682,9.32221929473392
48,25550.37248825624,18908.052789771467,69.0,151.65344984511304,9.32221929473392
49,63152.23935174708,41973.385174744115,72.0,151.39638744823097,9.32221929473392
50,58406.88010130775,732.8815679248924,30.0,160.90234533449123,9.32221929473392
51,39599.824027281,1992.0958177301318,37.0,167.07836572735533,9.32221929473392
52,45068.77826868942,4112.352512726405,76.0,158.25168512902073,9.32221929473392
53,22457.920703146596,14181.802505970434,12.0,137.16407968835003,9.32221929473392
54,24456.09322337793,6181.290633175355,39.0,153.64616417123898,9.32221929473392
55,33588.857999786145,924.9370973686861,34.0,169.70071228243637,9.32221929473392
56,38498.79355836716,2871.5524118889607,109.0,159.01134956661284,9.32221929473392
57,13768.507718000528,1474.1613155683197,26.0,143.68703812370248,9.32221929473392
58,34876.82943377372,1470.2115523713783,267.0,171.5903984309768,9.32221929473392
59,45871.035311393796,38703.54264773867,-327.0,159.93131207823086,9.32221929473392
60,53252.28237779906,34467.98690953372,187.0,162.91279473796965,9.32221929473392
61,44785.16135851455,924.9580397467092,104.0,167.08628914735297,9.32221929473392
62,41209.77187265082,1184.5831550029066,72.0,167.58778446211278,9.32221929473392
63,57483.52739861436,15086.83402002493,81.0,164.90016951072752,9.32221929473392
64,24942.38881509528,9508.358287146315,21.0,160.32221360961822,9.32221929473392
65,58897.17404965581,48941.672473431936,368.0,172.46647336968203,9.32221929473392
66,56511.112587702286,21175.554932445906,261.0,170.39919993363688,9.32221929473392
67,64471.91233547048,5206.5479853460965,43.0,156.30079988542636,9.32221929473392
68,22766.147948170877,1737.603638204116,78.0,156.43120288696122,9.32221929473392
69,42421.889699876614,1184.2532860428505,55.0,170.2608612635911,9.32221929473392
70,25951.604609925365,10381.601223854364,287.0,163.28743761494212,9.32221929473392
71,37668.39977486486,18436.49518685834,181.0,159.845723114009,9.32221929473392
72,50141.53961640953,7436.099607701919,410.0,171.48449008201052,9.32221929473392
73,33755.62313247097,10595.960334270154,374.0,168.11041618207878,9.32221929473392
74,54485.32765241321,1184.127547473889,138.0,171.11281277867414,9.32221929473392
75,17458.65603650404,3091.1328927755917,1.0,140.40090620864055,9.32221929473392
76,58822.89797870269,38067.841969101035,111.0,158.02802647171043,9.32221929473392
77,33337.20940162149,9959.253127980828,213.0,168.5137581282023,9.32221929473392
78,32633.8393127128,924.8302691176312,130.0,167.60513973288312,9.32221929473392
