,R,D,H,PL,F
0,39800.068022975785,1191.0651891780185,94.0,153.939066564857,8.954242509439325
1,13326.737644024422,8489.050926455655,68.0,138.5140314990823,8.954242509439325
2,51937.08335879512,1997.8311114663904,86.0,167.0645191098001,8.954242509439325
3,44083.622563167395,3146.9487814694985,13.0,152.4374457005271,8.954242509439325
4,39221.944737231905,3528.4211315382836,120.0,151.47394071621596,8.954242509439325
5,18377.468088977934,7158.3431638769725,316.0,151.26758829281312,8.954242509439325
6,25951.150978451504,924.6623215984687,26.0,141.2847644938625,8.954242509439325
7,15841.16961219744,13586.561868614974,43.0,136.99234200836864,8.954242509439325
8,25093.848528344617,22767.039880853314,73.0,142.6947066044657,8.954242509439325
9,25821.238862407215,19208.5764986094,81.0,143.99928008538,8.954242509439325
10,16489.045518411283,14111.507458790624,71.0,139.33029509941483,8.954242509439325
11,64188.761116586575,2379.7912860861256,185.0,185.18609252194733,8.954242509439325
12,45403.896672916206,2773.5746472536707,151.0,159.577802939236,8.954242509439325
13,45999.43502879944,1194.2739633876508,245.0,161.36654912946122,8.954242509439325
14,39561.87480105369,37325.869323411665,60.0,144.79775297251973,8.954242509439325
15,42583.45123963132,751.0047605263815,125.0,187.7536321565388,8.954242509439325
16,14649.54705545855,8028.769676606193,67.0,139.2538130713114,8.954242509439325
17,26245.78752963678,2387.1899631431356,78.0,153.75861400214427,8.954242509439325
18,30325.20043788722,3154.6799683494455,12.0,144.2248292840219,8.954242509439325
19,50168.76592814451,1194.9776587223218,130.0,158.73434718304176,8.954242509439325
20,46968.04507715659,44634.74976976577,-23.0,147.16157665586408,8.954242509439325
21,39960.568048434274,754.160421579201,98.0,168.11061740131578,8.954242509439325
22,58049.752913704986,5971.748249782306,96.0,167.59847017072366,8.954242509439325
23,33235.94225045675,17481.224978059796,-110.0,152.0424196303839,8.954242509439325
24,13140.217894719744,1849.2115271429445,253.0,152.17266975235773,8.954242509439325
25,35096.28922008617,20319.670611913767,-295.0,137.02556171599164,8.954242509439325
26,26430.847626512543,1193.4603544455065,75.0,154.9241987313904,8.954242509439325
27,6094.2543980429755,2259.2544500448,24.0,129.62343027475407,8.954242509439325
28,29813.290722372258,24964.38327731111,83.0,145.1797647069686,8.954242509439325
29,47858.25579828698,3145.104483181784,24.0,153.13941612224093,8.954242509439325
30,34613.23290944887,12113.813551981035,265.0,152.39079184818695,8.954242509439325
31,5748.301653999622,2874.002357632744,-6.0,110.60376093643225,8.954242509439325
32,23171.381350856493,5305.299774514035,127.0,150.313799649916,8.954242509439325
33,66030.3187667062,56946.6069574082,-143.0,156.69623906715066,8.954242509439325
34,44722.012980177344,924.6545185062082,79.0,170.85968830726364,8.954242509439325
35,37150.64695502485,1194.173626568633,140.0,182.5535628612278,8.954242509439325
36,46383.177125690134,21319.361848883153,398.0,157.068164400486,8.954242509439325
37,59625.54655324059,924.4843868368397,12.0,162.14065729416052,8.954242509439325
38,33935.597361455984,31531.406406989918,125.0,150.27141508905171,8.954242509439325
39,58629.19418988353,1190.6283842268645,3.0,148.17673157546872,8.954242509439325
40,41638.72287815217,924.5521277184829,136.0,158.17983893456383,8.954242509439325
