,R,D,H,PL,F
0,13258.183121437212,12137.915097861614,12.0,113.98231367425103,8.954242509439325
1,5120.605820023994,4304.415350123643,-4.0,106.92703033630832,8.954242509439325
2,31435.963985541774,30511.434350707674,27.0,127.38931892655015,8.954242509439325
3,29074.54192571596,1181.4370292801768,28.0,149.725648323896,8.954242509439325
4,57767.47615899381,56588.004225131976,12.0,129.50600881949026,8.954242509439325
5,50868.76539932749,49757.8766378869,12.0,128.19941965049398,8.954242509439325
6,36928.33432003583,34578.14456776211,6.0,124.8603040647689,8.954242509439325
7,43553.1028131861,26288.601947001443,245.0,153.6652564267784,8.954242509439325
8,39652.98724557803,8262.748651294758,316.0,158.86941281865555,8.954242509439325
9,57522.43141052006,56341.85453502179,12.0,129.46251957712678,8.954242509439325
10,61666.411509848265,738.6659289976927,88.0,189.6118282679226,8.954242509439325
11,20570.15455332484,5457.685318323862,-42.0,144.87101166021534,8.954242509439325
12,50102.55821023285,2364.9283851882824,119.0,158.77044407261928,8.954242509439325
13,16090.303312290174,14938.758225785074,12.0,115.84380314458376,8.954242509439325
14,35747.340980267065,34839.006766489256,27.0,128.4359386014447,8.954242509439325
15,25354.756542578303,24479.81368687415,27.0,125.66156585827352,8.954242509439325
16,11679.486228006313,5840.112679898464,25.0,123.15900398155709,8.954242509439325
17,29724.78534792697,6672.672616826247,236.0,158.9259824337215,8.954242509439325
18,22186.586084478957,19277.522220689294,8.0,119.39311872348921,8.954242509439325
19,30390.98001920701,28701.291784927686,10.0,122.79249256782356,8.954242509439325
20,38084.66441696568,37164.500238462526,27.0,128.95497156319888,8.954242509439325
21,31062.04476878595,20712.738872515103,214.0,149.42338799024503,8.954242509439325
22,50538.17414547752,2868.8448767014347,296.0,162.3597439915224,8.954242509439325
23,44747.93702840353,43686.85969689855,12.0,126.8712953705292,8.954242509439325
24,52822.36300714715,1179.1415596025997,258.0,164.867920351514,8.954242509439325
25,53428.413722552934,52516.585264437694,27.0,131.75960196956382,8.954242509439325
26,49049.934972307674,924.5717168110292,187.0,162.53330702020008,8.954242509439325
27,39575.58632179655,37415.995289225924,6.0,125.58844092743684,8.954242509439325
28,47299.395736685256,46524.183792007185,27.0,130.74481342265815,8.954242509439325
29,29815.549222367335,1990.401641227404,176.0,157.73651647749767,8.954242509439325
30,15807.00392224305,2359.222166169304,15.0,129.33082977172086,8.954242509439325
31,4599.493579669733,3468.5729081469544,12.0,105.12849631646358,8.954242509439325
32,25059.99049438915,6513.368696945215,380.0,156.5830585693378,8.954242509439325
33,34405.07633100011,924.4806825606634,89.0,154.56126024482535,8.954242509439325
34,43648.08907335763,6899.147346764716,328.0,159.39420708475166,8.954242509439325
35,47900.57884668884,38715.84529055278,116.0,146.5188783529461,8.954242509439325
36,24248.37688074958,23368.617819289513,27.0,125.30713771771127,8.954242509439325
37,29209.69587433448,23370.32969671057,25.0,127.68340339852217,8.954242509439325
38,41324.96579651489,39634.42057387449,10.0,126.04147205424204,8.954242509439325
39,23778.8884405122,20882.876778129026,8.0,120.1468295848329,8.954242509439325
40,51142.236915221,50256.82108186533,27.0,131.3947584197116,8.954242509439325
41,65307.033395261766,64127.70306335311,12.0,130.75638339091213,8.954242509439325
42,29594.622928544082,3698.1801891025816,59.0,153.2626676867584,8.954242509439325
43,42269.91853068327,732.1154601728281,108.0,168.65757865917777,8.954242509439325
44,46033.63969171984,35684.49957003395,214.0,152.0491879545315,8.954242509439325
45,25956.959256674258,22415.924476120395,-188.0,119.99387207963176,8.954242509439325
46,28147.41862992189,26997.518693002294,12.0,121.9712534867039,8.954242509439325
47,28970.046848565595,1990.073242918106,130.0,157.79533461980117,8.954242509439325
48,67928.38790977621,67199.43989656893,27.0,133.773731324759,8.954242509439325
49,54591.86978039545,4622.499666361215,219.0,162.5616067820154,8.954242509439325
50,65526.0493470251,64345.88024374815,12.0,130.79031412525995,8.954242509439325
51,40776.03716608029,1178.9008052869106,225.0,174.81609377579016,8.954242509439325
52,20753.66079160311,19891.24001171014,27.0,124.08378642605555,8.954242509439325
53,56716.6625059736,2883.5747042967214,369.0,191.3901935091596,8.954242509439325
54,28969.462988571595,14090.986823913274,159.0,152.69257902072857,8.954242509439325
55,52434.21450547395,9219.037716836552,226.0,161.58648464615857,8.954242509439325
56,54160.95307155624,37857.529382713095,188.0,150.79386294091017,8.954242509439325
57,39531.85390641174,38777.92529847272,27.0,129.26153088835886,8.954242509439325
58,34814.11858703535,33715.46605991755,12.0,124.23655614217037,8.954242509439325
59,14461.285740635272,3542.690414488266,329.0,151.36406103906023,8.954242509439325
60,44843.5063322668,43681.7081517958,12.0,126.89365838300856,8.954242509439325
61,29929.546258150687,18989.37310021965,337.0,153.35801777296953,8.954242509439325
62,28514.513473482395,924.4896365891094,224.0,159.35094227406046,8.954242509439325
63,45489.5096437333,34546.67765086155,337.0,156.11170040214026,8.954242509439325
64,33758.19165284359,733.5961289618581,303.0,164.52124686090943,8.954242509439325
65,19835.05195119146,16902.878251861293,8.0,118.16165606713784,8.954242509439325
66,35080.40894935795,3075.386729656997,190.0,158.4925358821326,8.954242509439325
67,51124.09760328337,49983.2049459467,12.0,128.250959077005,8.954242509439325
68,36569.21445458776,35388.48629706817,12.0,124.75344887448198,8.954242509439325
69,37645.51032252776,1731.3479545123437,178.0,158.2524935214317,8.954242509439325
70,41324.45617246765,4113.683151705462,56.0,161.46769737576267,8.954242509439325
71,23869.590157960192,924.500299615039,71.0,152.47143931943899,8.954242509439325
72,5547.372183487258,1849.1558020451143,14.0,119.56925393946455,8.954242509439325
73,31134.44099410484,29953.86954003732,12.0,123.05078020374184,8.954242509439325
74,42632.074793437954,41709.76597392486,27.0,129.88410910427567,8.954242509439325
75,29779.72275642662,6636.910085056224,28.0,155.15340630339614,8.954242509439325
76,42334.77400381272,41446.933922805845,27.0,129.8262952705532,8.954242509439325
77,39471.31190647805,37106.60908532262,5.0,125.56074813255219,8.954242509439325
78,37705.86343473036,1848.9598436847393,104.0,161.09704313774373,8.954242509439325
79,48545.43378981494,1182.9907069164399,79.0,158.14891515709758,8.954242509439325
80,19947.495990999138,19182.570574271747,27.0,123.77585141639898,8.954242509439325
81,35475.29786389879,19173.51640514137,188.0,148.4551794822195,8.954242509439325
82,49241.8486209314,34713.378971647835,199.0,158.92606980965445,8.954242509439325
83,61375.976257747214,60583.03170478215,27.0,132.92073865288606,8.954242509439325
84,35464.39692574437,732.8549455350485,195.0,185.84566150012836,8.954242509439325
85,34014.298456945464,33238.405223633396,27.0,128.03015756776713,8.954242509439325
86,38559.20105632294,13268.409173578315,-58.0,147.42500982595902,8.954242509439325
87,45291.54212746306,1181.467585714426,158.0,162.0537764627162,8.954242509439325
