,R,D,H,PL,F
0,42332.275520565745,5234.079198915032,228.0,172.84873403406334,9.32221929473392
1,23855.495747178178,9028.372502713557,196.0,157.04143827891227,9.255272505103306
2,33551.709345049414,1181.5488788877112,40.0,155.7889694528973,9.255272505103306
3,44311.69244082883,12556.996706197975,38.0,165.86644146915606,9.852784868680548
4,7187.614316605644,2396.151518113085,47.0,168.78049301607578,10.170261715394957
5,40767.35512030757,25922.04675068953,198.0,177.36330823694496,9.852784868680548
6,62867.426501782975,1179.300555080083,288.0,166.87006525879605,8.954242509439325
7,49405.64226166551,1989.723836219367,78.0,194.69445273527083,9.852784868680548
8,51810.75803741705,1989.439160047702,35.0,170.06964660653074,9.255272505103306
9,31892.6099567451,736.5116258663311,23.0,160.15235835273793,9.32221929473392
10,34863.97204867184,16552.7772478482,39.0,152.66818317157103,9.544068044350276
11,12360.472116136574,4788.503431523048,61.0,146.06520590203831,9.255272505103306
12,25308.238550937673,13015.212148822286,64.0,138.13129981974905,8.954242509439325
13,16442.30409948219,1472.953948018123,16.0,167.61300420262847,10.170261715394957
14,59451.091090795206,1992.1336026080776,197.0,178.75435313593826,9.544068044350276
15,24227.69166858097,924.9105456413565,76.0,166.4730231029188,9.544068044350276
16,59705.637572086576,1989.2000372947593,210.0,171.48551462914446,8.954242509439325
17,52907.061607310214,5208.647099500483,67.0,177.2364828779892,9.852784868680548
18,35123.79084946345,33398.43887940823,-31.0,173.45612794545036,9.852784868680548
19,53513.323837572476,12819.015021477206,95.0,146.75199328189257,8.954242509439325
20,38531.59410367386,36862.93283731434,13.0,174.58235700906766,9.852784868680548
21,51766.811592597136,6640.988324171701,116.0,182.76299794417145,9.852784868680548
22,64047.177845126374,2359.1797027703906,440.0,176.75685194354298,9.255272505103306
23,31438.041513368244,2210.9231871329653,224.0,174.37223401222212,9.544068044350276
24,49591.468125656036,1734.4915419720057,193.0,171.0739933822448,9.32221929473392
25,9262.630478116442,2394.8300250069983,-7.0,131.4428120143445,9.544068044350276
26,34921.61480427987,738.2128904209704,130.0,193.66939353735015,10.170261715394957
27,54332.436739964956,1179.8097818438523,218.0,163.16729758622031,8.954242509439325
28,59640.527416170684,2890.4623979514627,262.0,198.5960110732768,10.170261715394957
29,62411.67469489543,5492.649296514154,211.0,171.12468943024453,9.32221929473392
30,54257.20832711605,35525.98713394677,179.0,188.56972477187276,10.170261715394957
31,31158.977860299925,738.8930076425213,87.0,166.77381066657736,9.32221929473392
32,38764.39265845491,1475.3543470579127,164.0,184.5948694646664,9.852784868680548
33,60517.391242008365,47720.76472460788,87.0,137.51154095009466,8.954242509439325
34,26913.37530543773,8356.696430600932,217.0,178.27037272960266,9.852784868680548
35,32406.568389563705,7399.720646589233,80.0,172.9867926672543,9.852784868680548
36,55067.635610505225,36440.986833018884,140.0,147.59074922587854,9.255272505103306
37,56588.05511515164,20036.89599605358,55.0,147.20951739968652,8.954242509439325
38,30213.74652876138,2946.860705265402,59.0,153.3111023963479,9.255272505103306
39,34652.16446437159,16336.787301855336,56.0,137.58553787265006,8.954242509439325
40,47377.05516299506,6516.221681979777,87.0,192.46780834094844,10.170261715394957
41,33250.60772966643,31566.94997152874,53.0,157.63120490779232,9.32221929473392
42,55321.91562571013,34943.11402832723,88.0,164.62232109569595,9.544068044350276
43,28119.673421882642,1180.9516205249,298.0,171.246412956747,9.32221929473392
44,19479.384904166327,924.9106251865397,16.0,164.17226175986949,9.852784868680548
45,45671.52959176042,26632.58319001834,-206.0,146.0140442181839,8.954242509439325
46,67584.90326932418,5897.231258766227,420.0,173.2115167844775,9.255272505103306
47,44235.592004662256,42557.80548380363,3.0,166.46595968599763,9.544068044350276
48,35912.407430468644,17956.54630387635,282.0,171.02945462144493,9.544068044350276
49,45703.08947164258,16794.671281682542,-18.0,168.99263224323636,10.170261715394957
50,60733.659529522345,733.2446536911408,142.0,234.64117202080246,10.170261715394957
51,54630.98305390959,9511.548312832947,127.0,165.2621623727726,9.255272505103306
52,37930.19608633165,6474.763596494259,42.0,153.07796045571604,9.255272505103306
53,54753.0881328178,36641.20431403656,132.0,159.2677904985061,9.32221929473392
54,20652.810904953712,19944.35005902917,-74.0,135.80306396951448,9.852784868680548
55,32447.149239813232,13892.95603431377,327.0,162.85255650725298,9.255272505103306
56,47902.777976014666,924.9010999059848,21.0,155.42667708676987,9.32221929473392
57,25097.63028407388,12305.928543532818,87.0,141.47707005614726,9.32221929473392
58,63625.261932545174,56968.59789810442,80.0,174.8879951158511,9.852784868680548
59,42698.07079072606,1184.4353643697964,9.0,153.50704964406958,9.255272505103306
60,58467.12740047875,38088.81932340974,88.0,183.88090620501492,10.170261715394957
61,50952.54733381097,3144.7270893044797,67.0,167.24761112481838,9.255272505103306
62,4121.988262322932,3479.663699952687,-35.0,103.83476842583342,8.954242509439325
63,17366.42984235824,6285.2880126269765,70.0,148.96963335087426,9.32221929473392
64,25885.82696408842,13328.026236031568,40.0,150.64394182075526,8.954242509439325
65,56407.15982555402,9435.003285921519,47.0,145.76905674135577,9.255272505103306
66,45913.244213046906,9443.29803900539,204.0,196.84882256976945,10.170261715394957
67,40863.11673092843,2774.679747654347,62.0,160.4033551252109,9.255272505103306
68,45160.76396276403,6501.503974021438,473.0,179.33663435794895,9.544068044350276
69,34432.153649711734,14234.17140671955,60.0,160.5929720914234,9.544068044350276
70,50642.87247223136,9954.552131579989,63.0,179.5243124105617,10.170261715394957
71,41113.024550029935,1180.3134993701708,79.0,178.25728926056155,9.32221929473392
72,48801.48929806184,2877.49553582186,241.0,195.77391414866997,10.170261715394957
73,41936.36412697401,16464.592283185244,308.0,167.2296802747024,9.32221929473392
74,34458.09864974139,12917.8036051001,455.0,175.92754093378971,9.544068044350276
75,38909.23213430512,2774.6676331769995,80.0,187.1417035546208,10.170261715394957
76,14037.895766246917,1472.5439308974633,43.0,164.05863730305305,9.852784868680548
77,33693.828315187566,2774.979446098942,21.0,149.24091738636454,9.544068044350276
78,46804.85887559259,44440.25177028059,-83.0,142.0354294165158,9.544068044350276
79,53155.35516923349,1179.9542631060078,135.0,218.94843574616172,9.852784868680548
80,41921.28708959558,12665.766889604345,149.0,152.69667655454106,8.954242509439325
81,42147.15963305154,22502.54336970502,134.0,162.79148356904906,9.32221929473392
82,36189.58208950795,735.9255994184973,147.0,175.975596976437,9.544068044350276
83,46789.63370766248,4856.060646167059,45.0,143.0775566944454,8.954242509439325
84,26732.961663893875,6351.32839081659,200.0,150.20455158897317,8.954242509439325
85,52678.63429423509,12168.219067933349,38.0,181.77441617913468,10.170261715394957
86,24994.779350357832,3483.2824376769677,139.0,175.14840803685195,9.852784868680548
87,34992.45297058043,15080.891519088951,107.0,153.25005749301312,9.255272505103306
88,18121.91410980932,10593.390709841298,11.0,149.02994792552698,9.255272505103306
89,49612.52728111076,35427.83122590547,459.0,160.75215239107777,8.954242509439325
90,13022.310493446032,5474.604555063076,24.0,152.18118114466094,9.544068044350276
91,60704.5126172933,924.7140029564762,45.0,193.32341709565787,10.170261715394957
92,46579.66260149224,924.9584167669902,63.0,157.233795170914,8.954242509439325
93,13290.27966736378,11087.089116926552,-18.0,134.12118119687477,9.544068044350276
94,9365.98071911112,1849.8855098452202,87.0,148.848486211608,9.255272505103306
95,50071.42075334159,3472.8885332456343,240.0,205.92307315220225,10.170261715394957
96,20095.07692825491,1990.414802374778,42.0,156.56925219710757,9.544068044350276
97,22350.801269393825,8249.653375073241,156.0,182.3876321058572,10.170261715394957
98,20891.93191416073,16100.963487417315,20.0,156.47415436951775,9.544068044350276
99,32774.230800856254,18678.860595668706,163.0,174.4584748783983,9.852784868680548
100,60347.03507291736,9412.058868885655,420.0,166.27337469303063,9.255272505103306
101,24387.61712915708,1183.763651231977,116.0,171.93596689733525,9.544068044350276
102,50957.37127103474,11123.860473973626,279.0,166.90738221478682,9.32221929473392
103,44365.281934591556,6641.487591764935,50.0,161.57771433145456,9.32221929473392
104,35235.82002888731,737.8674863247797,42.0,183.53900147989842,10.170261715394957
105,27452.8103887644,2362.614257553149,31.0,145.5832111778397,9.32221929473392
106,39452.31989149732,734.8502866973703,49.0,160.85506160390727,9.32221929473392
107,38231.86035067722,30161.64736197978,-323.0,147.52692636907688,9.255272505103306
108,39226.156397865605,22185.030814783273,113.0,140.77695450858565,9.544068044350276
109,52110.538323478264,925.1786537805812,47.0,151.17210024380947,8.954242509439325
110,46690.63405024922,5227.232773044682,319.0,186.3335168959934,9.852784868680548
111,47832.42002440551,1184.1639368465455,84.0,169.87940341213775,9.32221929473392
112,37429.607130186545,4602.907783832932,294.0,152.71133357388774,8.954242509439325
113,47539.19295797187,924.9673619655761,6.0,148.79631575146837,8.954242509439325
114,32506.209943354115,22308.08912351925,183.0,167.38492807463732,9.544068044350276
115,35922.429910463594,23141.185434938252,87.0,160.19269425520275,9.544068044350276
116,47875.90717802193,1180.8304012585193,196.0,219.08554221685642,9.852784868680548
117,52524.91244990139,40422.70514240333,183.0,188.4199073450144,10.170261715394957
118,50031.37390412289,14816.356517604929,157.0,182.7575222686013,9.852784868680548
119,34651.5080240163,3473.5302885645306,24.0,157.85344564250335,9.32221929473392
120,35746.785334963184,15447.604765223628,56.0,169.24328416696727,9.852784868680548
121,45468.829162839975,5491.129510931527,76.0,155.043313191882,9.255272505103306
122,38492.215386278374,21638.547916083127,71.0,162.91446897242116,9.544068044350276
123,18509.63794573809,1473.0172620866954,101.0,182.86480687444853,10.170261715394957
124,25380.253133041897,4854.829911548295,58.0,176.37979983167722,10.170261715394957
125,52300.19033224801,5902.932837688423,58.0,168.21329180826245,9.544068044350276
126,19532.53830084042,1738.641130630078,59.0,153.20724427615787,9.32221929473392
127,54116.3735237009,43295.48326160394,129.0,162.66742911929327,9.32221929473392
128,40114.32441986724,20206.613200423493,92.0,171.0398681701885,9.852784868680548
129,20209.97455757932,736.6575339464158,10.0,178.93582307827828,10.170261715394957
130,45884.215740497275,2368.403748448529,36.0,175.10192205650557,9.544068044350276
131,36408.98501013267,14088.607722375751,513.0,169.8454161307003,9.32221929473392
132,20361.41800087185,2774.7022959283827,23.0,145.03762611948395,9.255272505103306
133,65334.74319279065,24647.906763729927,63.0,170.9104732726808,9.852784868680548
134,52446.383434548196,3470.4599525901194,124.0,164.3662777084873,9.32221929473392
