,R,D,H,PL,F
0,27693.316795558407,11928.864261319493,976.0,180.19491910983012,9.544068044350276
1,51132.44283066768,32551.159836965686,795.0,173.03768232961704,9.255272505103306
2,50319.71319307465,754.8491680762243,157.0,217.54503169778025,9.544068044350276
3,35067.249012110835,8766.55376167672,196.0,178.88929027528033,9.544068044350276
4,46179.52361364545,17954.277018481385,710.0,171.2696707291658,9.255272505103306
5,45801.22643059152,2386.878309933212,60.0,181.16788217535532,9.544068044350276
6,15831.501283357931,753.3011489559935,45.0,170.83312862876775,9.544068044350276
7,56319.401722340896,34010.23192713718,631.0,191.80850113757438,9.852784868680548
8,27701.866334982347,1190.4400551353283,166.0,179.81136091723607,9.544068044350276
9,35379.37916204915,16273.576254318219,700.0,170.20206040145547,9.255272505103306
10,42683.499153328594,23217.279110814787,528.0,187.05893921255281,9.852784868680548
11,14864.958235431206,13945.65920468457,-188.0,114.9759072776582,8.954242509439325
12,60074.07570362353,7665.394876395297,611.0,174.52260444324162,9.255272505103306
13,53027.88023490647,20329.751482573887,468.0,184.0224868514073,9.544068044350276
14,55098.899916609786,1189.8801252541853,68.0,168.89209891166817,9.32221929473392
15,42755.68961564959,924.1844389860429,213.0,186.05552413804344,9.32221929473392
16,52159.1895176764,8183.987434971744,399.0,196.94909196249193,10.170261715394957
17,49814.782165286306,924.1656530241276,116.0,227.35497467456818,10.170261715394957
18,36531.334420174906,1194.1133565650366,48.0,186.81868559022544,9.852784868680548
19,61012.341148878724,1194.0206071289194,97.0,165.74954368391747,8.954242509439325
20,47162.27419568206,751.4797979080793,53.0,189.07515047265133,10.170261715394957
21,56367.410379375106,34469.91635505489,393.0,185.50152893351645,9.852784868680548
22,13945.625330757852,3773.2655879060985,58.0,164.502721504113,9.544068044350276
23,47103.44717404858,25700.844851432066,267.0,160.45346288633718,8.954242509439325
24,21579.909510592635,15310.9630011474,250.0,177.78955548495594,9.852784868680548
25,38753.00357883617,754.1447692345249,57.0,160.00388333153091,8.954242509439325
26,29577.52049206776,924.2792924542811,142.0,201.59065809347314,10.170261715394957
27,38935.56360775559,1848.4886574507884,196.0,191.39220239823163,9.544068044350276
28,39853.173296613124,14185.624884513632,553.0,196.02165252831043,10.170261715394957
29,37901.64740885821,1848.3742507625404,69.0,206.0113963682264,9.544068044350276
30,56347.45022849925,30934.785398671396,519.0,172.54066529057212,9.255272505103306
31,31744.73029475336,2441.389618460386,428.0,215.63986156603906,10.170261715394957
32,53732.321310021885,2379.2147956467657,136.0,172.72801829984343,9.32221929473392
33,40592.81839980019,1190.2433876355785,267.0,171.4685442349845,9.255272505103306
34,40132.63040997061,754.4225243531606,19.0,185.7353108610773,9.852784868680548
35,34291.378931823434,5747.483713532905,644.0,162.21759048743706,8.954242509439325
36,25925.015351345723,753.0000778991548,111.0,185.14129680587124,9.852784868680548
37,25657.357297366434,23241.215529388075,33.0,169.20179045446397,9.852784868680548
38,38653.273319862434,3008.872506645422,261.0,150.8529922578106,9.32221929473392
39,52771.160487425965,2773.034874380554,71.0,171.78040216105796,9.255272505103306
40,50359.804221806655,924.2194860264357,138.0,190.7386989898578,9.852784868680548
41,50400.24475976561,4099.693966372959,195.0,175.29400625738825,9.32221929473392
42,15789.944751403906,3535.8024742070675,139.0,154.25281235976718,8.954242509439325
43,44535.263791914156,1762.290724940759,530.0,196.06057308753483,9.852784868680548
44,39284.63541366691,9365.085820298424,238.0,158.0459453219145,8.954242509439325
45,32385.38587967257,924.2843284709832,51.0,167.55226111982262,9.255272505103306
46,36154.58175326095,9225.848330307652,97.0,195.12593762296575,9.852784868680548
47,27492.04479486316,11718.257435439948,278.0,170.19003609427378,9.544068044350276
48,26301.519015055437,753.6762683378612,110.0,167.14786500361902,9.32221929473392
49,54310.99117426481,1189.9292353176809,64.0,158.20289425093654,8.954242509439325
50,19199.021127916312,2437.9757275659044,134.0,183.45889851114038,10.170261715394957
51,26833.917927058,1763.5236510937505,83.0,143.40155264901148,8.954242509439325
52,21095.141890799827,18839.501398601195,-141.0,155.41723453955683,9.544068044350276
53,39016.38639392163,1994.8780338468691,183.0,188.90931924834797,9.32221929473392
54,31955.23020732953,2259.102229063257,258.0,194.37163352044607,10.170261715394957
55,56268.308937168425,6474.639341135057,288.0,164.8338648524143,8.954242509439325
56,30869.58491387203,924.3036052929001,224.0,168.95011401308327,9.255272505103306
57,36739.69066447449,751.2690589895413,51.0,149.24724781784934,8.954242509439325
58,24067.409226916934,21630.902342986,67.0,132.41443238630293,8.954242509439325
59,17020.759808821993,751.5558296895871,66.0,160.3446042364567,9.544068044350276
60,50804.11642894451,1769.6463487546132,64.0,189.34016114808446,9.544068044350276
61,60917.543972419335,756.7718320943393,77.0,172.98739664105182,9.255272505103306
62,27575.861639175495,15682.54999893235,42.0,156.30856368381615,9.544068044350276
63,65771.38878361972,1188.9380990898967,110.0,201.18811689597425,9.852784868680548
64,21074.1548873613,1504.7337203816207,35.0,156.73659566078763,9.544068044350276
65,66192.06208929759,16939.525978189467,117.0,196.49537534207036,10.170261715394957
66,11910.48900429178,3534.6737051263117,107.0,157.99572594520131,9.255272505103306
67,20345.602838641364,753.7170788569343,38.0,177.47707271812766,9.544068044350276
68,37893.0416725233,21916.7787446305,479.0,167.81539102205033,9.255272505103306
69,55351.85081125541,15955.356502560096,438.0,170.26713709234116,9.32221929473392
70,22233.430324248537,5545.500851397295,349.0,173.94500022806193,9.32221929473392
71,45792.19220992775,2772.9965724014837,128.0,171.51629665748814,9.255272505103306
72,21396.43896068021,16551.78176736062,-68.0,152.3482633496277,8.954242509439325
73,28331.185769672953,25902.06977271846,3.0,130.7041763272931,8.954242509439325
74,30660.07262889507,2437.358086711163,41.0,171.16333661397795,9.852784868680548
75,16492.43839777939,1192.3404648140367,95.0,179.95081412170748,9.544068044350276
76,38163.51289846685,924.1908150337518,114.0,190.35925940191544,9.544068044350276
77,46919.828567660705,4869.778517796822,7.0,180.58178729861618,10.170261715394957
78,43643.264510794725,924.1738013683251,239.0,190.3108284430812,9.852784868680548
79,16704.884364251437,5596.627609303511,230.0,146.9407624894695,8.954242509439325
80,38889.36736093231,2873.7081366044254,254.0,160.60958115434295,8.954242509439325
81,37164.707046995,1996.8742434170665,235.0,242.19960799849378,10.170261715394957
82,28222.64013185441,2437.4660146976175,27.0,136.42473380764184,8.954242509439325
83,50454.347688126756,3989.4685664143926,96.0,186.5560816388624,9.544068044350276
84,38499.97743108601,10837.173395096033,542.0,177.6091190074724,9.544068044350276
85,33198.20375148065,14613.562369949317,895.0,186.55821061638335,9.32221929473392
86,48778.44166866444,1193.001453468097,60.0,165.87421796569873,8.954242509439325
87,11215.516513336519,751.6375787279131,-10.0,146.29895426961716,9.852784868680548
88,28112.673601268314,1190.968212119479,33.0,143.9600304017287,8.954242509439325
89,46180.77828320899,16352.990821360392,607.0,189.08008331423702,9.852784868680548
90,46712.96477520068,30736.028345652467,166.0,175.99578057249033,9.544068044350276
91,17682.103930574565,7653.163594182326,24.0,136.81210954692193,8.954242509439325
92,55738.64265456596,33107.031757502205,140.0,169.7724965966468,9.544068044350276
93,24600.844842621846,924.2759403823086,122.0,162.46303360615423,9.255272505103306
94,64915.720793665176,11943.083412073407,368.0,184.58887759779594,9.255272505103306
95,29158.201453802245,924.2707184855323,124.0,163.67598490414264,8.954242509439325
96,40663.25249182431,1192.8867184162589,93.0,213.3614386075439,10.170261715394957
97,31087.04553490502,924.1921458668004,127.0,219.3183119844709,9.852784868680548
98,32708.29856039681,1192.8212179555267,175.0,187.7343841826399,9.852784868680548
99,53738.64810097061,21310.839394882947,373.0,165.61088878392326,9.255272505103306
100,50975.58759130901,3697.4618012435435,237.0,198.54806516182788,10.170261715394957
101,58465.307119614255,9553.215735262076,90.0,191.6875007768438,9.852784868680548
102,42156.23231424027,2257.6873345736954,382.0,193.4600070404394,9.544068044350276
103,61712.11446290757,13817.497256096178,66.0,158.93805139188564,9.544068044350276
104,9446.485478626493,3148.2226563941763,57.0,162.1665280695538,9.852784868680548
105,53536.252745164114,6691.932349993979,110.0,171.8389311733115,9.32221929473392
106,49687.973885984604,2444.9117613029034,610.0,186.06973349476038,9.544068044350276
107,27066.66573955367,5596.484964705812,396.0,175.96688165734722,9.544068044350276
108,36059.720789946914,755.551208764912,79.0,172.62241173411746,9.32221929473392
109,17960.49145811682,4682.492869452664,383.0,171.4216684131726,9.544068044350276
110,38063.799309399044,750.5650887611424,187.0,172.49122646142231,9.32221929473392
111,11116.734003473446,924.3344692455108,141.0,159.92368725356104,9.32221929473392
112,45446.36266363748,25978.59052540058,557.0,197.14714052444089,10.170261715394957
113,45499.79112303737,1764.0564390769791,53.0,187.29989254600395,9.852784868680548
114,30603.456906332558,28386.532713318287,-48.0,135.18222795447247,8.954242509439325
115,11165.175659136676,752.9455921084857,13.0,141.660004537632,9.32221929473392
116,35411.48798567137,13027.226671935261,530.0,186.20446911071363,9.852784868680548
117,57414.52025205097,749.5234956787987,106.0,210.1074592095175,9.544068044350276
118,38969.84440843537,924.3046707724453,117.0,168.59678994158986,9.32221929473392
119,53258.00951612852,756.614754726387,66.0,193.11681933150243,9.544068044350276
120,21731.88032178403,924.2737641008351,142.0,164.4867558570565,9.32221929473392
121,46267.49217086355,7432.195770221772,264.0,192.0730725119805,9.255272505103306
122,52714.68115799258,2925.157885926338,394.0,200.93298891958796,10.170261715394957
123,36927.62036452941,14289.17449200208,290.0,189.39686312230344,10.170261715394957
124,49588.5586316461,750.0795821916691,91.0,201.33035718742786,9.544068044350276
125,35129.58399177336,7393.789467525164,192.0,179.33970325512777,8.954242509439325
126,54786.41111864078,34301.49982935525,581.0,213.81967171033148,10.170261715394957
127,25657.888751307804,12350.734221877334,161.0,162.95134067716734,9.544068044350276
128,42649.8510545617,2442.2078507881133,186.0,168.25798998243036,9.32221929473392
129,22759.487443508384,3528.756807000897,305.0,181.3149985701186,9.852784868680548
130,30974.994276456782,2381.7472630564084,170.0,180.19777257707437,9.852784868680548
