model,task,mse,rmse,mae
LinearRegression,ALL,124.38987463861974,11.153020875019456,8.255431463541461
LinearRegression,MBC_CheongJu_LTE_2.1G.csv,92.99164877916266,9.64321776064207,7.332492397555577
LinearRegression,Broad_CheongJu_LTE_2.1G.csv,94.0511778788926,9.697998653273396,7.395861680983733
LinearRegression,MBC_DaeJeon_LTE_2.1G.csv,94.52657993122418,9.722478075636076,7.1991913456459855
LinearRegression,KBS_DaeJeon_LTE_2.1G.csv,87.26179415901908,9.341402151658983,6.886371050521889
LinearRegression,CMB_DaeJeon_LTE_2.1G.csv,101.16539294506593,10.058100861746512,7.201797126064579
LinearRegression,MBC_ChungJu_LTE_2.1G.csv,150.33701199852572,12.261199451869533,8.844567594781273
LinearRegression,KBS_ChungJu_LTE_2.1G.csv,140.43583542694387,11.85056266288415,8.558089830443949
LinearRegression,KBS_main_LTE_2.1G.csv,94.75381591191383,9.734157175221378,7.283694850459291
LinearRegression,SBS_LTE_2.1G.csv,88.39697899970528,9.401966762316556,7.152638324823507
LinearRegression,MBC_sa_LTE_2.1G.csv,118.0212904071166,10.863760417420691,8.153016368958829
LinearRegression,KBS_KangNeung_LTE_2.1G.csv,170.94931719271045,13.074758781434955,10.130751213781927
LinearRegression,MBC_KangNeung_LTE_2.1G.csv,153.84005144584657,12.403227460860604,9.89585287643537
LinearRegression,TBN_DaeGu_LTE_2.1G.csv,137.1246191120442,11.710022165309688,8.218875129950158
LinearRegression,TBC_DaeGu_LTE_2.1G.csv,134.7179110695088,11.6068045158652,8.306750911086187
LinearRegression,JeonJu_Radio_LTE_2.1G.csv,119.0864997144284,10.912676102332938,8.11930914249552
LinearRegression,KBS_JeonJu_LTE_2.1G.csv,114.34011331920341,10.692993655623452,8.129491476107434
LinearRegression,KBS_MokPo_LTE_2.1G.csv,118.18568813134118,10.871324120425312,8.834443767359168
LinearRegression,KBS_SunCheon_LTE_2.1G.csv,251.93492101118804,15.872457938554698,11.752756773509901
LinearRegression,KBS_GwangJu_LTE_2.1G.csv,101.2869706999342,10.064142819929286,7.45724594632346
SVR,ALL,98.26623575702163,9.91293275257235,6.46519213698384
