method,stage,stage_task,eval_task,mse,rmse,mae,freq_band
Naive,0,MBC_CheongJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,53.54145526885986,7.317202694258228,5.155258297920227,LTE_2.1G
Naive,1,Broad_CheongJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,56.86038875579834,7.540582786217412,5.658217430114746,LTE_2.1G
Naive,1,Broad_CheongJu_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,62.50408172607422,7.9059522972298675,5.869208772977193,LTE_2.1G
Naive,2,MBC_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,72.13654104868571,8.493323321803175,6.650588949521382,LTE_2.1G
Naive,2,MBC_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,67.41610129674275,8.210730862520263,6.385650237401326,LTE_2.1G
Naive,2,MBC_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,70.73547077178955,8.410438203315541,6.490419467290242,LTE_2.1G
Naive,3,KBS_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,65.32672023773193,8.082494679103224,6.0333324273427325,LTE_2.1G
Naive,3,KBS_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,64.9701657295227,8.060407293029472,5.971917510032654,LTE_2.1G
Naive,3,KBS_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,72.69291337331136,8.526013920544075,6.357806086540222,LTE_2.1G
Naive,3,KBS_DaeJeon_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,54.24197371800741,7.364915051649096,5.3716632922490435,LTE_2.1G
Naive,4,CMB_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,61.975796381632485,7.872470792682084,5.921582341194153,LTE_2.1G
Naive,4,CMB_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,63.70905192693075,7.981795031628584,5.974395016829173,LTE_2.1G
Naive,4,CMB_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,77.61020882924397,8.809665647982559,6.631253361701965,LTE_2.1G
Naive,4,CMB_DaeJeon_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,56.21097262700399,7.497397723677462,5.512916425863902,LTE_2.1G
Naive,4,CMB_DaeJeon_LTE_2.1G.csv,CMB_DaeJeon_LTE_2.1G.csv,63.49367300669352,7.968291724497385,5.757478356361389,LTE_2.1G
Naive,5,MBC_ChungJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,89.26011339823405,9.447757056478222,7.871624668439229,LTE_2.1G
