label,stage,stage_task,eval_task,mse,rmse,mae
ER,0,data.csv,data.csv,1128.6136954661165,33.594846263468995,27.159802747576425
ER,1,task1.csv,data.csv,478.76396882132195,21.880675693893046,18.585482372326798
ER,1,task1.csv,task1.csv,445.05295019196,21.096278112310713,17.52321620904186
ER,2,task2.csv,data.csv,235.8724020625768,15.358137975111983,12.328254763999682
ER,2,task2.csv,task1.csv,248.61248285050152,15.767450106168134,12.859372097378978
ER,2,task2.csv,task2.csv,212.7922362850211,14.587399915167236,11.885900966191697
ER,3,task3.csv,data.csv,89.07588890161406,9.438002378767132,7.619072233692983
ER,3,task3.csv,task1.csv,81.37604661981585,9.020867287562535,7.1266934305477605
ER,3,task3.csv,task2.csv,67.82897928744386,8.235835069223027,6.47845861197865
ER,3,task3.csv,task3.csv,143.66686238003317,11.986111228419048,9.948801498628606
Naive,0,data.csv,data.csv,1429.0358914150281,37.8025910674788,30.60443811738089
Naive,1,task1.csv,data.csv,420.9229463727287,20.516406760754396,16.450022236684735
Naive,1,task1.csv,task1.csv,416.339823906179,20.404406972665953,16.62182411354077
Naive,2,task2.csv,data.csv,310.8615179169044,17.631265352121055,14.254608711499847
Naive,2,task2.csv,task1.csv,307.1795270731838,17.526537794818,14.228595468647454
Naive,2,task2.csv,task2.csv,254.37226660776946,15.949052216597996,12.856680703028447
Naive,3,task3.csv,data.csv,278.5298163596164,16.689212574582914,13.43899710794513
Naive,3,task3.csv,task1.csv,271.5754765031411,16.47954721778305,13.375039447297572
Naive,3,task3.csv,task2.csv,266.673572087692,16.330143051660386,13.237039883931478
Naive,3,task3.csv,task3.csv,299.5978863387458,17.308896161764498,14.185527914661472
