label,stage,stage_task,eval_task,mse,rmse,mae
Reservoir,0,data.csv,data.csv,1558.9009961760446,39.482920309623054,32.04082482584407
Reservoir,1,task1.csv,data.csv,284.92047513468884,16.879587528570976,13.581061598959934
Reservoir,1,task1.csv,task1.csv,288.583772415876,16.987753601223325,13.802440530841686
Reservoir,2,task2.csv,data.csv,385.8507928741112,19.643085115992122,15.922280343730797
Reservoir,2,task2.csv,task1.csv,360.2188324319719,18.979431825846945,15.499104136218932
Reservoir,2,task2.csv,task2.csv,273.75162846624517,16.545441319778845,13.48748503431762
Reservoir,3,task3.csv,data.csv,231.76223686303985,15.22373925364724,12.273999332042223
Reservoir,3,task3.csv,task1.csv,299.17672773863467,17.296725925406655,13.88395023808148
Reservoir,3,task3.csv,task2.csv,330.276654949296,18.173515206181108,14.52975900294417
Reservoir,3,task3.csv,task3.csv,245.8032210183009,15.678112801555578,12.859096554039562
LARS,0,data.csv,data.csv,1519.0104184954355,38.974484197939496,33.44735503464602
LARS,1,task1.csv,data.csv,435.0868156518829,20.858734756736393,16.894600193152268
LARS,1,task1.csv,task1.csv,470.3712462639385,21.688043855173717,17.7798545634034
LARS,2,task2.csv,data.csv,504.9957776016064,22.472111106916643,18.80993487325947
LARS,2,task2.csv,task1.csv,430.39121592680357,20.74587226237556,17.191519077837178
LARS,2,task2.csv,task2.csv,311.35888283939687,17.645364344195244,14.494074983111883
LARS,3,task3.csv,data.csv,360.6125477994426,18.989801152182785,15.33465996217192
LARS,3,task3.csv,task1.csv,335.2221446984804,18.309072742727317,15.003213484953601
LARS,3,task3.csv,task2.csv,319.34118359237067,17.87011985388936,14.843865135968741
LARS,3,task3.csv,task3.csv,465.3129430221299,21.5711136249877,17.53886935670497
