global_epoch,task,epoch_in_task,train_loss,val_loss
1,MBC_CheongJu.csv,1,28753.147569444445,28308.110026041668
2,MBC_CheongJu.csv,2,28109.22802734375,27378.93532986111
3,MBC_CheongJu.csv,3,26765.319173177082,25574.827690972223
4,MBC_CheongJu.csv,4,24490.18212890625,22759.674696180555
5,MBC_CheongJu.csv,5,21173.659559461805,18947.774956597223
6,MBC_CheongJu.csv,6,16968.087863498266,14393.175238715277
7,MBC_CheongJu.csv,7,12187.392062717014,9487.588650173611
8,MBC_CheongJu.csv,8,7281.184326171875,4766.90478515625
9,MBC_CheongJu.csv,9,3023.295827229818,1349.2935248480903
10,MBC_CheongJu.csv,10,684.4946441650391,443.03736707899304
11,MBC_CheongJu.csv,11,331.16390652126734,295.3552754720052
12,MBC_CheongJu.csv,12,237.91941409640842,214.41562228732639
13,MBC_CheongJu.csv,13,181.89947509765625,164.67126040988498
14,MBC_CheongJu.csv,14,147.18700408935547,136.44039069281683
15,MBC_CheongJu.csv,15,127.2128677368164,118.0530014038086
16,MBC_CheongJu.csv,16,113.21771134270563,107.93211195203993
17,MBC_CheongJu.csv,17,107.16384188334148,101.86053636338976
18,MBC_CheongJu.csv,18,103.53293906317816,97.87759738498264
19,MBC_CheongJu.csv,19,100.51837412516277,95.92953067355685
20,MBC_CheongJu.csv,20,98.50879181755914,94.53774515787761
21,MBC_CheongJu.csv,21,97.63923984103732,94.36989084879558
22,MBC_CheongJu.csv,22,97.58229700724284,93.89240095350478
23,MBC_CheongJu.csv,23,97.12035793728299,95.33297136094835
24,MBC_CheongJu.csv,24,96.61824692620172,93.97144317626953
25,MBC_CheongJu.csv,25,96.60698424445258,94.12953779432509
26,MBC_CheongJu.csv,26,97.1958442264133,93.572999742296
27,MBC_CheongJu.csv,27,96.3709061940511,94.99394141303168
28,MBC_CheongJu.csv,28,97.69474580552843,93.71046532524957
29,MBC_CheongJu.csv,29,96.79492738511827,94.3522711859809
30,MBC_CheongJu.csv,30,96.75940153333876,94.47296651204427
31,MBC_CheongJu.csv,31,96.58794509039984,95.55611928304036
32,MBC_CheongJu.csv,32,96.95579189724393,93.60253397623698
33,MBC_CheongJu.csv,33,97.36878617604573,94.2631098429362
34,MBC_CheongJu.csv,34,96.28783331976996,93.59711456298828
35,MBC_CheongJu.csv,35,96.87826516893175,93.75497945149739
36,MBC_CheongJu.csv,36,96.58976629045274,93.71914418538411
37,MBC_CheongJu.csv,37,96.7372652689616,93.77245754665799
38,MBC_CheongJu.csv,38,97.41509437561035,94.58402845594618
39,MBC_CheongJu.csv,39,96.47199334038629,93.64015282524957
40,MBC_CheongJu.csv,40,96.64942804972331,94.27170054117839
41,MBC_CheongJu.csv,41,96.29898484547932,95.41094038221571
42,MBC_CheongJu.csv,42,97.07594723171658,93.61485714382596
43,MBC_CheongJu.csv,43,96.22517013549805,93.67344665527344
44,MBC_CheongJu.csv,44,97.26872041490343,93.62660895453558
45,MBC_CheongJu.csv,45,96.70953136020236,94.09776475694444
46,MBC_CheongJu.csv,46,96.80973031785753,93.87981923421223
47,MBC_CheongJu.csv,47,96.44152153862848,94.46471489800348
48,MBC_CheongJu.csv,48,96.61424658033583,93.72176869710286
49,MBC_CheongJu.csv,49,96.85411495632596,93.64783732096355
50,MBC_CheongJu.csv,50,96.94488419426813,93.60303327772353
51,MBC_CheongJu.csv,51,96.60267236497667,93.77811262342665
52,MBC_CheongJu.csv,52,96.66675588819716,93.84141540527344
53,MBC_CheongJu.csv,53,96.55727979871962,93.98130120171442
54,MBC_CheongJu.csv,54,96.209898630778,93.73739793565538
55,MBC_CheongJu.csv,55,96.6546179453532,94.8036117553711
56,MBC_CheongJu.csv,56,96.70705223083496,93.58312733968098
57,MBC_CheongJu.csv,57,96.08543629116483,93.80221727159288
58,MBC_CheongJu.csv,58,97.0816633436415,93.62007564968533
59,MBC_CheongJu.csv,59,97.2805830637614,93.65854899088542
60,MBC_CheongJu.csv,60,96.58706876966689,93.71544138590495
61,MBC_CheongJu.csv,61,95.83910126156277,93.85539160834418
62,MBC_CheongJu.csv,62,96.39803865220811,93.60493977864583
63,MBC_CheongJu.csv,63,97.11984634399414,93.57918039957683
64,MBC_CheongJu.csv,64,96.33718236287434,93.55251057942708
65,MBC_CheongJu.csv,65,96.45577155219183,94.64176601833768
66,MBC_CheongJu.csv,66,98.12974611918132,93.99937523735895
67,MBC_CheongJu.csv,67,96.05370012919109,93.67133331298828
68,MBC_CheongJu.csv,68,97.27851083543565,93.58345031738281
69,MBC_CheongJu.csv,69,97.20445717705621,94.12901051839192
70,MBC_CheongJu.csv,70,97.31266339619954,93.75674438476562
71,MBC_CheongJu.csv,71,96.59965176052518,93.5793719821506
72,MBC_CheongJu.csv,72,96.56913216908772,93.74321407741971
73,MBC_CheongJu.csv,73,96.6922255622016,93.63972981770833
74,MBC_CheongJu.csv,74,96.81331316630046,93.64216444227431
75,MBC_CheongJu.csv,75,96.99369070265028,93.73291863335504
76,MBC_CheongJu.csv,76,96.88700506422255,93.94257015652127
77,MBC_CheongJu.csv,77,97.15702629089355,93.93701426188152
78,MBC_CheongJu.csv,78,96.4102087020874,93.97941419813368
79,MBC_CheongJu.csv,79,97.17981677585178,93.76018778483073
80,MBC_CheongJu.csv,80,95.81576580471463,93.628907945421
81,MBC_CheongJu.csv,81,96.21397103203668,93.64839002821181
82,MBC_CheongJu.csv,82,96.66873571607802,93.75940873887804
83,MBC_CheongJu.csv,83,97.38498708936903,93.6261452568902
84,MBC_CheongJu.csv,84,96.9795102013482,93.67168087429471
85,MBC_CheongJu.csv,85,97.10717858208551,93.69594404432509
86,MBC_CheongJu.csv,86,96.46969011094835,93.67027367485895
87,MBC_CheongJu.csv,87,96.95562065972223,93.74203660753038
88,MBC_CheongJu.csv,88,96.99487622578938,93.68965403238933
89,MBC_CheongJu.csv,89,97.44078742133246,93.69167582194011
90,MBC_CheongJu.csv,90,98.06857511732314,93.6802020602756
91,MBC_CheongJu.csv,91,96.40470589531793,93.70089552137587
92,MBC_CheongJu.csv,92,96.51413790384929,93.76075575086806
93,MBC_CheongJu.csv,93,95.83008331722684,93.68734825981988
94,MBC_CheongJu.csv,94,97.3724931081136,93.69379085964627
95,MBC_CheongJu.csv,95,96.41520542568631,93.71513027615018
96,MBC_CheongJu.csv,96,97.01908874511719,93.71236165364583
97,MBC_CheongJu.csv,97,96.80279286702473,93.71653917100694
98,MBC_CheongJu.csv,98,97.2514254252116,93.70814598931207
99,MBC_CheongJu.csv,99,96.36302926805284,93.70478142632379
100,MBC_CheongJu.csv,100,96.11762534247504,93.7024637858073
101,Broad_CheongJu.csv,1,599.1388988148083,118.44261169433594
102,Broad_CheongJu.csv,2,597.1056690562855,127.25308990478516
