use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,144.7379,12.0307,8.5759
True,1,Broad_CheongJu.csv,3417.7522,58.4615,55.9771
True,2,MBC_DaeJeon.csv,2981.5925,54.6040,51.9705
True,3,KBS_DaeJeon.csv,2570.6785,50.7019,47.7251
True,4,CMB_DaeJeon.csv,2427.6099,49.2708,46.3853
True,5,MBC_ChungJu.csv,1903.0147,43.6236,41.1445
True,6,KBS_ChungJu.csv,1888.0948,43.4522,41.0581
True,7,KBS_main.csv,2173.1754,46.6173,43.4584
True,8,SBS.csv,2290.5527,47.8597,44.2248
True,9,MBC_sa.csv,2126.5964,46.1150,42.5424
True,10,KBS_KangNeung.csv,2667.9577,51.6523,48.5873
True,11,MBC_KangNeung.csv,2707.5743,52.0344,49.1097
True,12,TBN_DaeGu.csv,2279.6537,47.7457,45.2361
True,13,TBC_DaeGu.csv,3032.0220,55.0638,52.3541
True,14,JeonJu_Radio.csv,2644.5129,51.4248,48.9113
True,15,KBS_JeonJu.csv,2470.2582,49.7017,46.8494
True,16,KBS_MokPo.csv,2649.4575,51.4729,48.5079
True,17,KBS_SunCheon.csv,1659.3116,40.7346,37.2024
True,18,KBS_GwangJu.csv,2465.6599,49.6554,47.2769
