run_name,sweep_tag,use_replay,alpha,hidden_dim,layer_num,stage,stage_task,eval_task,mse,rmse,mae
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,0,MBC_CheongJu.csv,MBC_CheongJu.csv,61.0648,7.8144,5.4843
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,1,KBS_DaeJeon.csv,MBC_CheongJu.csv,64.2843,8.0178,5.8850
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,1,KBS_DaeJeon.csv,KBS_DaeJeon.csv,71.8453,8.4762,6.0436
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,2,SBS_Seoul.csv,MBC_CheongJu.csv,62.2235,7.8882,5.6658
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,2,SBS_Seoul.csv,KBS_DaeJeon.csv,79.4321,8.9125,6.3961
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,2,SBS_Seoul.csv,SBS_Seoul.csv,42.7639,6.5394,4.5829
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,3,MBC_ChungJu.csv,MBC_CheongJu.csv,68.9556,8.3040,6.4426
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,3,MBC_ChungJu.csv,KBS_DaeJeon.csv,78.5718,8.8641,6.7964
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,3,MBC_ChungJu.csv,SBS_Seoul.csv,49.0911,7.0065,5.1757
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,3,MBC_ChungJu.csv,MBC_ChungJu.csv,139.7690,11.8224,8.6169
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,4,KBS_KangNeung.csv,MBC_CheongJu.csv,78.1055,8.8377,6.9375
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,4,KBS_KangNeung.csv,KBS_DaeJeon.csv,85.6708,9.2558,7.1482
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,4,KBS_KangNeung.csv,SBS_Seoul.csv,59.3935,7.7067,5.7936
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,4,KBS_KangNeung.csv,MBC_ChungJu.csv,141.8071,11.9083,8.8642
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,4,KBS_KangNeung.csv,KBS_KangNeung.csv,90.9705,9.5378,6.2362
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,5,KBS_MokPo.csv,MBC_CheongJu.csv,68.4267,8.2720,6.3009
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,5,KBS_MokPo.csv,KBS_DaeJeon.csv,86.9608,9.3253,6.9964
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,5,KBS_MokPo.csv,SBS_Seoul.csv,47.8505,6.9174,5.0707
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,5,KBS_MokPo.csv,MBC_ChungJu.csv,153.3185,12.3822,8.9538
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,5,KBS_MokPo.csv,KBS_KangNeung.csv,112.7966,10.6206,7.2306
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,5,KBS_MokPo.csv,KBS_MokPo.csv,50.1533,7.0819,5.4577
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,6,TBN_DaeGu.csv,MBC_CheongJu.csv,68.5430,8.2791,6.3566
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,6,TBN_DaeGu.csv,KBS_DaeJeon.csv,85.0978,9.2248,7.0767
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,6,TBN_DaeGu.csv,SBS_Seoul.csv,50.1578,7.0822,5.2468
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,6,TBN_DaeGu.csv,MBC_ChungJu.csv,147.8917,12.1611,8.9903
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,6,TBN_DaeGu.csv,KBS_KangNeung.csv,108.9572,10.4383,7.0873
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,6,TBN_DaeGu.csv,KBS_MokPo.csv,61.1037,7.8169,6.1947
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,6,TBN_DaeGu.csv,TBN_DaeGu.csv,110.2610,10.5005,7.3147
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,7,KBS_JeonJu.csv,MBC_CheongJu.csv,67.9782,8.2449,6.3360
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,7,KBS_JeonJu.csv,KBS_DaeJeon.csv,81.7224,9.0400,6.8453
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,7,KBS_JeonJu.csv,SBS_Seoul.csv,48.2132,6.9436,5.1001
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,7,KBS_JeonJu.csv,MBC_ChungJu.csv,147.0469,12.1263,8.7615
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,7,KBS_JeonJu.csv,KBS_KangNeung.csv,111.2776,10.5488,7.3362
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,7,KBS_JeonJu.csv,KBS_MokPo.csv,63.4272,7.9641,6.3104
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,7,KBS_JeonJu.csv,TBN_DaeGu.csv,114.7941,10.7142,7.3843
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,7,KBS_JeonJu.csv,KBS_JeonJu.csv,77.2776,8.7908,6.5366
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,8,KBS_SunCheon.csv,MBC_CheongJu.csv,95.1861,9.7563,8.0750
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,8,KBS_SunCheon.csv,KBS_DaeJeon.csv,90.3273,9.5041,7.7193
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,8,KBS_SunCheon.csv,SBS_Seoul.csv,67.7447,8.2307,6.4668
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,8,KBS_SunCheon.csv,MBC_ChungJu.csv,131.7226,11.4770,8.9893
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,8,KBS_SunCheon.csv,KBS_KangNeung.csv,109.7015,10.4738,7.7398
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,8,KBS_SunCheon.csv,KBS_MokPo.csv,85.7698,9.2612,7.5898
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,8,KBS_SunCheon.csv,TBN_DaeGu.csv,124.4853,11.1573,8.4439
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,8,KBS_SunCheon.csv,KBS_JeonJu.csv,89.8071,9.4767,7.6360
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,8,KBS_SunCheon.csv,KBS_SunCheon.csv,216.9703,14.7299,11.0775
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,MBC_CheongJu.csv,70.1026,8.3727,6.5509
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,KBS_DaeJeon.csv,81.7972,9.0442,7.0047
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,SBS_Seoul.csv,50.6434,7.1164,5.3398
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,MBC_ChungJu.csv,143.8811,11.9950,8.8189
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,KBS_KangNeung.csv,110.7772,10.5251,7.2446
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,KBS_MokPo.csv,64.7986,8.0498,6.4078
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,TBN_DaeGu.csv,114.1679,10.6849,7.4692
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,KBS_JeonJu.csv,82.1065,9.0613,6.8662
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,KBS_SunCheon.csv,259.8581,16.1201,11.7279
ER_sweep_alpha0.5_hd64_layer2,ER_sweep,True,0.5,64,2,9,KBS_GwangJu.csv,KBS_GwangJu.csv,68.8593,8.2982,6.3860
