use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,140.1656,11.8392,8.0713
True,1,Broad_CheongJu.csv,141.7421,11.9056,8.0369
True,2,MBC_DaeJeon.csv,126.9540,11.2674,7.9351
True,3,KBS_DaeJeon.csv,135.4854,11.6398,8.1360
True,4,CMB_DaeJeon.csv,134.3383,11.5904,8.1032
True,5,MBC_ChungJu.csv,129.4192,11.3763,8.1724
True,6,KBS_ChungJu.csv,131.5339,11.4688,8.4054
True,7,KBS_main.csv,108.5563,10.4190,7.5173
True,8,SBS.csv,113.8942,10.6721,7.7302
True,9,MBC_sa.csv,112.8557,10.6234,7.6552
True,10,KBS_KangNeung.csv,102.3672,10.1177,7.4449
True,11,MBC_KangNeung.csv,101.9137,10.0952,7.3030
True,12,TBN_DaeGu.csv,101.5508,10.0772,7.4178
True,13,TBC_DaeGu.csv,100.9556,10.0477,7.4024
True,14,JeonJu_Radio.csv,98.8013,9.9399,7.2910
True,15,KBS_JeonJu.csv,98.5994,9.9297,7.2250
True,16,KBS_MokPo.csv,101.0798,10.0538,7.1886
True,17,KBS_SunCheon.csv,106.0838,10.2997,8.2405
True,18,KBS_GwangJu.csv,98.4736,9.9234,7.1499
