use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,140.4518,11.8512,8.0614
True,1,Broad_CheongJu.csv,138.2527,11.7581,8.0439
True,2,MBC_DaeJeon.csv,133.8107,11.5677,8.0954
True,3,KBS_DaeJeon.csv,137.3684,11.7204,8.1528
True,4,CMB_DaeJeon.csv,136.9894,11.7042,8.1173
True,5,MBC_ChungJu.csv,126.7610,11.2588,8.2551
True,6,KBS_ChungJu.csv,129.7709,11.3917,8.3984
True,7,KBS_main.csv,107.0572,10.3468,7.5911
True,8,SBS.csv,109.0009,10.4404,7.6786
True,9,MBC_sa.csv,110.5174,10.5127,7.7225
True,10,KBS_KangNeung.csv,102.6914,10.1337,7.5799
True,11,MBC_KangNeung.csv,101.9047,10.0948,7.2864
True,12,TBN_DaeGu.csv,101.1807,10.0589,7.5054
True,13,TBC_DaeGu.csv,100.6588,10.0329,7.5237
True,14,JeonJu_Radio.csv,99.1239,9.9561,7.3464
True,15,KBS_JeonJu.csv,98.9219,9.9459,7.3022
True,16,KBS_MokPo.csv,100.2787,10.0139,7.2488
True,17,KBS_SunCheon.csv,104.9369,10.2439,8.1195
True,18,KBS_GwangJu.csv,98.2782,9.9135,7.2881
