use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,140.4518,11.8512,8.0614
True,1,Broad_CheongJu.csv,151.0679,12.2910,8.1590
True,2,MBC_DaeJeon.csv,136.3849,11.6784,8.0506
True,3,KBS_DaeJeon.csv,138.3013,11.7602,8.1543
True,4,CMB_DaeJeon.csv,137.3817,11.7210,8.1817
True,5,MBC_ChungJu.csv,127.0280,11.2707,8.1849
True,6,KBS_ChungJu.csv,127.6989,11.3004,8.3689
True,7,KBS_main.csv,116.3776,10.7878,7.7099
True,8,SBS.csv,113.2344,10.6412,7.6601
True,9,MBC_sa.csv,111.8516,10.5760,7.6658
True,10,KBS_KangNeung.csv,102.5361,10.1260,7.4505
True,11,MBC_KangNeung.csv,101.5669,10.0780,7.3305
True,12,TBN_DaeGu.csv,101.5657,10.0780,7.4076
True,13,TBC_DaeGu.csv,100.6462,10.0323,7.4257
True,14,JeonJu_Radio.csv,99.3174,9.9658,7.4054
True,15,KBS_JeonJu.csv,99.0065,9.9502,7.3294
True,16,KBS_MokPo.csv,101.0657,10.0531,7.1484
True,17,KBS_SunCheon.csv,101.8710,10.0931,7.8632
True,18,KBS_GwangJu.csv,98.8311,9.9414,7.2052
