use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,71.2482,8.4409,5.9803
True,1,Broad_CheongJu.csv,78.0432,8.8342,6.1020
True,2,MBC_DaeJeon.csv,80.8917,8.9940,6.7761
True,3,KBS_DaeJeon.csv,77.5049,8.8037,6.4271
True,4,CMB_DaeJeon.csv,77.7730,8.8189,6.4069
True,5,MBC_ChungJu.csv,89.0910,9.4388,7.2221
True,6,KBS_ChungJu.csv,94.2381,9.7076,7.6164
True,7,KBS_main.csv,96.4400,9.8204,6.9144
True,8,SBS.csv,91.7220,9.5772,6.6434
True,9,MBC_sa.csv,85.4535,9.2441,6.7834
True,10,KBS_KangNeung.csv,90.6180,9.5193,7.1241
True,11,MBC_KangNeung.csv,87.6732,9.3634,6.9073
True,12,TBN_DaeGu.csv,89.4845,9.4596,7.0444
True,13,TBC_DaeGu.csv,91.6304,9.5724,7.2998
True,14,JeonJu_Radio.csv,90.5232,9.5144,7.1037
True,15,KBS_JeonJu.csv,89.8141,9.4770,6.8971
True,16,KBS_MokPo.csv,101.0300,10.0514,6.9408
True,17,KBS_SunCheon.csv,107.1459,10.3511,8.3220
True,18,KBS_GwangJu.csv,99.7872,9.9894,7.0369
