use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,138.5698,11.7716,7.9720
True,1,Broad_CheongJu.csv,144.9207,12.0383,7.9994
True,2,MBC_DaeJeon.csv,129.4640,11.3782,7.8887
True,3,KBS_DaeJeon.csv,133.3376,11.5472,8.0260
True,4,CMB_DaeJeon.csv,133.5667,11.5571,8.0625
True,5,MBC_ChungJu.csv,128.6075,11.3405,8.1416
True,6,KBS_ChungJu.csv,128.2252,11.3237,8.2684
True,7,KBS_main.csv,103.3893,10.1681,7.3471
True,8,SBS.csv,116.1598,10.7777,7.7413
True,9,MBC_sa.csv,114.0715,10.6804,7.8878
True,10,KBS_KangNeung.csv,98.6210,9.9308,7.3250
True,11,MBC_KangNeung.csv,98.2282,9.9110,7.2857
True,12,TBN_DaeGu.csv,97.9172,9.8953,7.3028
True,13,TBC_DaeGu.csv,97.1993,9.8590,7.2600
True,14,JeonJu_Radio.csv,96.4843,9.8226,7.1971
True,15,KBS_JeonJu.csv,96.3888,9.8178,7.1863
True,16,KBS_MokPo.csv,99.3836,9.9691,7.1687
True,17,KBS_SunCheon.csv,99.4960,9.9748,7.7390
True,18,KBS_GwangJu.csv,96.6236,9.8297,7.1852
