use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,70.5100,8.3970,5.9102
True,1,Broad_CheongJu.csv,75.4061,8.6837,6.2881
True,2,MBC_DaeJeon.csv,79.7605,8.9309,6.7697
True,3,KBS_DaeJeon.csv,78.2266,8.8446,6.5330
True,4,CMB_DaeJeon.csv,76.6804,8.7567,6.4159
True,5,MBC_ChungJu.csv,91.9424,9.5887,7.6321
True,6,KBS_ChungJu.csv,96.4558,9.8212,7.8358
True,7,KBS_main.csv,92.9295,9.6400,6.8917
True,8,SBS.csv,88.6795,9.4170,6.5956
True,9,MBC_sa.csv,84.8201,9.2098,6.8970
True,10,KBS_KangNeung.csv,91.4088,9.5608,7.3678
True,11,MBC_KangNeung.csv,89.1161,9.4401,7.1111
True,12,TBN_DaeGu.csv,89.9226,9.4828,7.1517
True,13,TBC_DaeGu.csv,94.0798,9.6995,7.5810
True,14,JeonJu_Radio.csv,90.9759,9.5381,7.1544
True,15,KBS_JeonJu.csv,89.7583,9.4741,6.9109
True,16,KBS_MokPo.csv,94.4998,9.7211,6.8162
True,17,KBS_SunCheon.csv,123.5650,11.1160,9.3096
True,18,KBS_GwangJu.csv,100.1762,10.0088,7.0350
