use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,72.9478,8.5409,6.0623
True,1,Broad_CheongJu.csv,77.0707,8.7790,6.4968
True,2,MBC_DaeJeon.csv,81.2465,9.0137,6.9149
True,3,KBS_DaeJeon.csv,78.4156,8.8553,6.7231
True,4,CMB_DaeJeon.csv,77.5638,8.8070,6.4928
True,5,MBC_ChungJu.csv,95.1299,9.7535,7.8307
True,6,KBS_ChungJu.csv,96.2953,9.8130,7.7510
True,7,KBS_main.csv,95.9359,9.7947,6.9500
True,8,SBS.csv,92.4232,9.6137,6.7491
True,9,MBC_sa.csv,85.9952,9.2734,6.9266
True,10,KBS_KangNeung.csv,95.1108,9.7525,7.6927
True,11,MBC_KangNeung.csv,90.0588,9.4899,7.1702
True,12,TBN_DaeGu.csv,92.0316,9.5933,7.3440
True,13,TBC_DaeGu.csv,93.3849,9.6636,7.4553
True,14,JeonJu_Radio.csv,92.3476,9.6098,7.2502
True,15,KBS_JeonJu.csv,91.1123,9.5453,6.9844
True,16,KBS_MokPo.csv,98.3300,9.9162,6.8565
True,17,KBS_SunCheon.csv,117.7092,10.8494,8.9341
True,18,KBS_GwangJu.csv,101.1178,10.0557,7.0428
