use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,139.9439,11.8298,8.0541
True,1,Broad_CheongJu.csv,139.2229,11.7993,8.0387
True,2,MBC_DaeJeon.csv,131.7258,11.4772,8.1460
True,3,KBS_DaeJeon.csv,138.6245,11.7739,8.3714
True,4,CMB_DaeJeon.csv,130.7099,11.4328,8.0094
True,5,MBC_ChungJu.csv,142.3247,11.9300,9.0634
True,6,KBS_ChungJu.csv,140.6081,11.8578,9.2312
True,7,KBS_main.csv,106.0536,10.2982,7.2179
True,8,SBS.csv,116.6130,10.7988,7.5628
True,9,MBC_sa.csv,116.3092,10.7847,7.9511
True,10,KBS_KangNeung.csv,104.1813,10.2069,8.0017
True,11,MBC_KangNeung.csv,101.3036,10.0650,7.6539
True,12,TBN_DaeGu.csv,99.3224,9.9661,7.5003
True,13,TBC_DaeGu.csv,100.2569,10.0128,7.7765
True,14,JeonJu_Radio.csv,97.7192,9.8853,7.3766
True,15,KBS_JeonJu.csv,97.8329,9.8911,7.2077
True,16,KBS_MokPo.csv,105.3815,10.2655,7.1030
True,17,KBS_SunCheon.csv,118.6036,10.8905,8.9816
True,18,KBS_GwangJu.csv,102.8704,10.1425,7.0750
