use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,140.4518,11.8512,8.0614
True,1,Broad_CheongJu.csv,135.8499,11.6555,8.0433
True,2,MBC_DaeJeon.csv,133.7423,11.5647,8.1377
True,3,KBS_DaeJeon.csv,138.9607,11.7882,8.2282
True,4,CMB_DaeJeon.csv,135.0669,11.6218,8.1253
True,5,MBC_ChungJu.csv,130.2260,11.4117,8.4351
True,6,KBS_ChungJu.csv,122.5411,11.0698,8.2591
True,7,KBS_main.csv,107.4184,10.3643,7.6876
True,8,SBS.csv,109.2446,10.4520,7.5359
True,9,MBC_sa.csv,111.9779,10.5820,7.7781
True,10,KBS_KangNeung.csv,102.7543,10.1368,7.5537
True,11,MBC_KangNeung.csv,101.6594,10.0826,7.4002
True,12,TBN_DaeGu.csv,100.8352,10.0417,7.4796
True,13,TBC_DaeGu.csv,100.2688,10.0134,7.5254
True,14,JeonJu_Radio.csv,99.1663,9.9582,7.3848
True,15,KBS_JeonJu.csv,98.7230,9.9359,7.3032
True,16,KBS_MokPo.csv,100.4957,10.0248,7.3353
True,17,KBS_SunCheon.csv,106.7799,10.3334,8.2394
True,18,KBS_GwangJu.csv,98.2395,9.9116,7.1974
