use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,69.6548,8.3459,5.9347
True,1,Broad_CheongJu.csv,75.0120,8.6609,6.4963
True,2,MBC_DaeJeon.csv,80.6534,8.9807,6.9878
True,3,KBS_DaeJeon.csv,76.9767,8.7736,6.6282
True,4,CMB_DaeJeon.csv,76.3730,8.7392,6.4599
True,5,MBC_ChungJu.csv,95.4439,9.7695,7.9584
True,6,KBS_ChungJu.csv,97.9748,9.8982,7.9759
True,7,KBS_main.csv,95.1041,9.7521,6.8980
True,8,SBS.csv,88.8057,9.4237,6.6253
True,9,MBC_sa.csv,84.8229,9.2099,6.9483
True,10,KBS_KangNeung.csv,94.7719,9.7351,7.6001
True,11,MBC_KangNeung.csv,88.9691,9.4323,7.1144
True,12,TBN_DaeGu.csv,90.2438,9.4997,7.2157
True,13,TBC_DaeGu.csv,93.2669,9.6575,7.4983
True,14,JeonJu_Radio.csv,92.1289,9.5984,7.2289
True,15,KBS_JeonJu.csv,91.0118,9.5400,6.9807
True,16,KBS_MokPo.csv,96.0805,9.8021,6.9236
True,17,KBS_SunCheon.csv,122.8697,11.0847,9.2138
True,18,KBS_GwangJu.csv,100.7756,10.0387,7.0568
