run_name,sweep_tag,use_replay,alpha,hidden_dim,layer_num,stage,stage_task,eval_task,mse,rmse,mae
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,0,SBS_Seoul.csv,SBS_Seoul.csv,42.9432,6.5531,4.4564
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,1,MBC_sa.csv,SBS_Seoul.csv,45.4715,6.7433,4.7668
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,1,MBC_sa.csv,MBC_sa.csv,90.6676,9.5220,6.5807
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,2,KBS_Seoul.csv,SBS_Seoul.csv,44.7373,6.6886,4.7676
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,2,KBS_Seoul.csv,MBC_sa.csv,91.5236,9.5668,6.7004
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,2,KBS_Seoul.csv,KBS_Seoul.csv,45.3928,6.7374,4.9282
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,3,MBC_CheongJu.csv,SBS_Seoul.csv,44.4949,6.6705,4.6944
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,3,MBC_CheongJu.csv,MBC_sa.csv,92.9099,9.6390,6.5979
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,3,MBC_CheongJu.csv,KBS_Seoul.csv,45.4052,6.7383,4.8109
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,3,MBC_CheongJu.csv,MBC_CheongJu.csv,63.9474,7.9967,5.7604
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,4,Broad_CheongJu.csv,SBS_Seoul.csv,46.8514,6.8448,4.9370
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,4,Broad_CheongJu.csv,MBC_sa.csv,90.7592,9.5268,6.6351
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,4,Broad_CheongJu.csv,KBS_Seoul.csv,48.3660,6.9546,5.0793
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,4,Broad_CheongJu.csv,MBC_CheongJu.csv,65.0815,8.0673,5.9709
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,4,Broad_CheongJu.csv,Broad_CheongJu.csv,82.9359,9.1069,6.6719
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,5,MBC_ChungJu.csv,SBS_Seoul.csv,50.5493,7.1098,5.2652
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,5,MBC_ChungJu.csv,MBC_sa.csv,92.0406,9.5938,6.9899
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,5,MBC_ChungJu.csv,KBS_Seoul.csv,51.9025,7.2043,5.4144
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,5,MBC_ChungJu.csv,MBC_CheongJu.csv,70.2324,8.3805,6.5354
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,5,MBC_ChungJu.csv,Broad_CheongJu.csv,88.2565,9.3945,7.2715
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,5,MBC_ChungJu.csv,MBC_ChungJu.csv,144.8457,12.0352,8.8250
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,6,KBS_ChungJu.csv,SBS_Seoul.csv,55.4834,7.4487,5.5662
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,6,KBS_ChungJu.csv,MBC_sa.csv,92.7568,9.6310,7.0634
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,6,KBS_ChungJu.csv,KBS_Seoul.csv,57.5308,7.5849,5.7556
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,6,KBS_ChungJu.csv,MBC_CheongJu.csv,72.6019,8.5207,6.6320
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,6,KBS_ChungJu.csv,Broad_CheongJu.csv,86.5030,9.3007,7.1989
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,6,KBS_ChungJu.csv,MBC_ChungJu.csv,141.4970,11.8952,8.7123
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,6,KBS_ChungJu.csv,KBS_ChungJu.csv,120.4155,10.9734,8.1532
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,7,MBC_DaeJeon.csv,SBS_Seoul.csv,53.8257,7.3366,5.5179
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,7,MBC_DaeJeon.csv,MBC_sa.csv,92.2707,9.6058,7.0335
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,7,MBC_DaeJeon.csv,KBS_Seoul.csv,55.1935,7.4292,5.6476
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,7,MBC_DaeJeon.csv,MBC_CheongJu.csv,69.6654,8.3466,6.5125
ER_total_sweep_alpha0.5_hd64_layer2,ER_total_sweep,True,0.5,64,2,7,MBC_DaeJeon.csv,Broad_CheongJu.csv,83.6840,9.1479,7.0162
