run_name,sweep_tag,use_replay,alpha,hidden_dim,layer_num,stage,stage_task,eval_task,mse,rmse,mae
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,0,SBS_Seoul.csv,SBS_Seoul.csv,42.9432,6.5531,4.4564
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,1,MBC_CheongJu.csv,SBS_Seoul.csv,47.1889,6.8694,4.8937
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,1,MBC_CheongJu.csv,MBC_CheongJu.csv,62.6172,7.9131,5.5637
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,2,MBC_ChungJu.csv,SBS_Seoul.csv,83.5484,9.1405,7.3421
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,2,MBC_ChungJu.csv,MBC_CheongJu.csv,90.9137,9.5349,7.7803
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,2,MBC_ChungJu.csv,MBC_ChungJu.csv,130.1911,11.4101,8.5767
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,3,MBC_DaeJeon.csv,SBS_Seoul.csv,82.1650,9.0645,6.9714
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,3,MBC_DaeJeon.csv,MBC_CheongJu.csv,85.4500,9.2439,7.1079
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,3,MBC_DaeJeon.csv,MBC_ChungJu.csv,149.1754,12.2137,8.5317
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,3,MBC_DaeJeon.csv,MBC_DaeJeon.csv,81.7459,9.0413,6.7535
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,4,JeonJu_Radio.csv,SBS_Seoul.csv,58.1550,7.6259,5.8516
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,4,JeonJu_Radio.csv,MBC_CheongJu.csv,74.8056,8.6490,6.8347
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,4,JeonJu_Radio.csv,MBC_ChungJu.csv,144.6231,12.0259,8.7711
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,4,JeonJu_Radio.csv,MBC_DaeJeon.csv,94.3711,9.7145,7.6204
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,4,JeonJu_Radio.csv,JeonJu_Radio.csv,94.8513,9.7392,6.9252
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,5,KBS_SunCheon.csv,SBS_Seoul.csv,173.1835,13.1599,11.0067
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,5,KBS_SunCheon.csv,MBC_CheongJu.csv,194.2796,13.9384,11.8483
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,5,KBS_SunCheon.csv,MBC_ChungJu.csv,158.1387,12.5753,10.2696
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,5,KBS_SunCheon.csv,MBC_DaeJeon.csv,136.1907,11.6701,9.5180
MLP_5_sweep_alpha0.5_hd64_layer2,MLP_5_sweep,False,0.5,64,2,5,KBS_SunCheon.csv,JeonJu_Radio.csv,162.7418,12.7570,10.1527
