run_name,sweep_tag,use_replay,alpha,hidden_dim,layer_num,stage,stage_task,eval_task,mse,rmse,mae
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,0,SBS_Seoul.csv,SBS_Seoul.csv,42.9432,6.5531,4.4564
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,1,MBC_Seoul.csv,SBS_Seoul.csv,50.9476,7.1378,5.2450
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,1,MBC_Seoul.csv,MBC_Seoul.csv,87.0391,9.3295,6.6733
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,2,KBS_Seoul.csv,SBS_Seoul.csv,44.0816,6.6394,4.5961
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,2,KBS_Seoul.csv,MBC_Seoul.csv,96.4417,9.8205,6.7448
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,2,KBS_Seoul.csv,KBS_Seoul.csv,42.7572,6.5389,4.5642
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,3,MBC_CheongJu.csv,SBS_Seoul.csv,48.0948,6.9350,4.8847
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,3,MBC_CheongJu.csv,MBC_Seoul.csv,96.4329,9.8200,6.7003
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,3,MBC_CheongJu.csv,KBS_Seoul.csv,47.4983,6.8919,4.8872
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,3,MBC_CheongJu.csv,MBC_CheongJu.csv,64.6859,8.0428,5.6437
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,4,Broad_CheongJu.csv,SBS_Seoul.csv,53.7934,7.3344,5.4281
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,4,Broad_CheongJu.csv,MBC_Seoul.csv,93.2838,9.6584,6.8962
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,4,Broad_CheongJu.csv,KBS_Seoul.csv,55.4748,7.4481,5.5443
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,4,Broad_CheongJu.csv,MBC_CheongJu.csv,66.8503,8.1762,6.1671
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,4,Broad_CheongJu.csv,Broad_CheongJu.csv,80.2468,8.9581,6.6466
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,5,MBC_ChungJu.csv,SBS_Seoul.csv,92.2912,9.6068,7.7724
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,5,MBC_ChungJu.csv,MBC_Seoul.csv,111.8298,10.5750,8.2194
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,5,MBC_ChungJu.csv,KBS_Seoul.csv,93.9182,9.6911,7.7973
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,5,MBC_ChungJu.csv,MBC_CheongJu.csv,95.7853,9.7870,7.9950
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,5,MBC_ChungJu.csv,Broad_CheongJu.csv,102.6352,10.1309,8.2325
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,5,MBC_ChungJu.csv,MBC_ChungJu.csv,125.1917,11.1889,8.3974
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,6,KBS_ChungJu.csv,SBS_Seoul.csv,96.5498,9.8260,7.8895
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,6,KBS_ChungJu.csv,MBC_Seoul.csv,114.8146,10.7152,8.2671
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,6,KBS_ChungJu.csv,KBS_Seoul.csv,98.4713,9.9233,7.9264
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,6,KBS_ChungJu.csv,MBC_CheongJu.csv,102.0839,10.1037,8.1318
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,6,KBS_ChungJu.csv,Broad_CheongJu.csv,104.9843,10.2462,8.2582
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,6,KBS_ChungJu.csv,MBC_ChungJu.csv,125.7666,11.2146,8.3878
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,6,KBS_ChungJu.csv,KBS_ChungJu.csv,102.0193,10.1005,7.5712
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,7,MBC_DaeJeon.csv,SBS_Seoul.csv,82.2614,9.0698,7.0351
MLP_total_sweep_alpha0.5_hd64_layer2,MLP_total_sweep,False,0.5,64,2,7,MBC_DaeJeon.csv,MBC_Seoul.csv,107.8192,10.3836,7.7759
