use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,140.4518,11.8512,8.0614
True,1,Broad_CheongJu.csv,133.1253,11.5380,8.0539
True,2,MBC_DaeJeon.csv,137.6442,11.7322,8.5164
True,3,KBS_DaeJeon.csv,137.9404,11.7448,8.3259
True,4,CMB_DaeJeon.csv,134.5671,11.6003,8.1375
True,5,MBC_ChungJu.csv,139.3386,11.8042,9.0048
True,6,KBS_ChungJu.csv,143.2013,11.9667,9.1749
True,7,KBS_main.csv,119.5934,10.9359,7.6852
True,8,SBS.csv,120.7008,10.9864,7.7719
True,9,MBC_sa.csv,116.7770,10.8063,8.0168
True,10,KBS_KangNeung.csv,114.2120,10.6870,8.4494
True,11,MBC_KangNeung.csv,108.9749,10.4391,7.9278
True,12,TBN_DaeGu.csv,123.8751,11.1299,8.5305
True,13,TBC_DaeGu.csv,127.9392,11.3110,8.7147
True,14,JeonJu_Radio.csv,116.3081,10.7846,7.9708
True,15,KBS_JeonJu.csv,119.1865,10.9173,7.9795
True,16,KBS_MokPo.csv,125.6432,11.2091,7.5995
True,17,KBS_SunCheon.csv,165.4525,12.8628,10.8066
True,18,KBS_GwangJu.csv,105.0941,10.2515,7.3356
