run_name,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
alpha_0.7,True,0.7,0,64,2,5G_3.5G,0,MBC_CheongJu.csv,MBC_CheongJu.csv,62.9559,7.9345,5.6510
alpha_0.7,True,0.7,0,64,2,5G_3.5G,1,Broad_CheongJu.csv,MBC_CheongJu.csv,64.1293,8.0081,5.9503
alpha_0.7,True,0.7,0,64,2,5G_3.5G,1,Broad_CheongJu.csv,Broad_CheongJu.csv,77.0931,8.7803,6.5078
alpha_0.7,True,0.7,0,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_CheongJu.csv,75.6979,8.7005,6.8136
alpha_0.7,True,0.7,0,64,2,5G_3.5G,2,MBC_DaeJeon.csv,Broad_CheongJu.csv,76.4063,8.7411,6.7028
alpha_0.7,True,0.7,0,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_DaeJeon.csv,89.7395,9.4731,7.1960
alpha_0.7,True,0.7,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_CheongJu.csv,73.9487,8.5993,6.6110
alpha_0.7,True,0.7,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,Broad_CheongJu.csv,76.3038,8.7352,6.5824
alpha_0.7,True,0.7,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_DaeJeon.csv,91.6307,9.5724,7.1315
alpha_0.7,True,0.7,0,64,2,5G_3.5G,3,KBS_DaeJeon.csv,KBS_DaeJeon.csv,62.2476,7.8897,5.7688
alpha_0.7,True,0.7,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_CheongJu.csv,68.4641,8.2743,6.3935
alpha_0.7,True,0.7,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,Broad_CheongJu.csv,74.0412,8.6047,6.4880
alpha_0.7,True,0.7,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_DaeJeon.csv,93.9210,9.6913,7.2797
alpha_0.7,True,0.7,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,KBS_DaeJeon.csv,64.8026,8.0500,5.9413
alpha_0.7,True,0.7,0,64,2,5G_3.5G,4,CMB_DaeJeon.csv,CMB_DaeJeon.csv,69.8903,8.3600,5.9811
alpha_0.7,True,0.7,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_CheongJu.csv,81.3905,9.0217,7.4249
alpha_0.7,True,0.7,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,Broad_CheongJu.csv,81.9401,9.0521,7.3273
alpha_0.7,True,0.7,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_DaeJeon.csv,90.9099,9.5347,7.5585
alpha_0.7,True,0.7,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,KBS_DaeJeon.csv,68.4959,8.2762,6.4501
alpha_0.7,True,0.7,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,CMB_DaeJeon.csv,76.1279,8.7251,6.8228
alpha_0.7,True,0.7,0,64,2,5G_3.5G,5,MBC_ChungJu.csv,MBC_ChungJu.csv,138.8116,11.7818,8.6044
alpha_0.7,True,0.7,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,MBC_CheongJu.csv,85.4426,9.2435,7.6174
alpha_0.7,True,0.7,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,Broad_CheongJu.csv,83.7854,9.1534,7.3855
alpha_0.7,True,0.7,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,MBC_DaeJeon.csv,91.7461,9.5784,7.6720
alpha_0.7,True,0.7,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,KBS_DaeJeon.csv,69.6894,8.3480,6.5505
alpha_0.7,True,0.7,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,CMB_DaeJeon.csv,78.0185,8.8328,6.9425
alpha_0.7,True,0.7,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,MBC_ChungJu.csv,136.1871,11.6699,8.5910
alpha_0.7,True,0.7,0,64,2,5G_3.5G,6,KBS_ChungJu.csv,KBS_ChungJu.csv,103.8601,10.1912,7.6882
alpha_0.7,True,0.7,0,64,2,5G_3.5G,7,KBS_main.csv,MBC_CheongJu.csv,65.9196,8.1191,6.4427
alpha_0.7,True,0.7,0,64,2,5G_3.5G,7,KBS_main.csv,Broad_CheongJu.csv,81.6770,9.0375,7.1293
alpha_0.7,True,0.7,0,64,2,5G_3.5G,7,KBS_main.csv,MBC_DaeJeon.csv,104.6225,10.2285,7.9819
alpha_0.7,True,0.7,0,64,2,5G_3.5G,7,KBS_main.csv,KBS_DaeJeon.csv,72.8610,8.5359,6.5355
alpha_0.7,True,0.7,0,64,2,5G_3.5G,7,KBS_main.csv,CMB_DaeJeon.csv,78.8084,8.8774,6.6649
alpha_0.7,True,0.7,0,64,2,5G_3.5G,7,KBS_main.csv,MBC_ChungJu.csv,155.7136,12.4785,8.8940
alpha_0.7,True,0.7,0,64,2,5G_3.5G,7,KBS_main.csv,KBS_ChungJu.csv,124.8300,11.1727,8.1859
alpha_0.7,True,0.7,0,64,2,5G_3.5G,7,KBS_main.csv,KBS_main.csv,46.1468,6.7931,5.0733
alpha_0.7,True,0.7,0,64,2,5G_3.5G,8,SBS.csv,MBC_CheongJu.csv,62.8829,7.9299,6.0705
alpha_0.7,True,0.7,0,64,2,5G_3.5G,8,SBS.csv,Broad_CheongJu.csv,79.0542,8.8912,6.8158
alpha_0.7,True,0.7,0,64,2,5G_3.5G,8,SBS.csv,MBC_DaeJeon.csv,109.5367,10.4660,7.9908
alpha_0.7,True,0.7,0,64,2,5G_3.5G,8,SBS.csv,KBS_DaeJeon.csv,73.3787,8.5661,6.4222
alpha_0.7,True,0.7,0,64,2,5G_3.5G,8,SBS.csv,CMB_DaeJeon.csv,77.8699,8.8244,6.3750
alpha_0.7,True,0.7,0,64,2,5G_3.5G,8,SBS.csv,MBC_ChungJu.csv,163.1840,12.7744,8.9250
alpha_0.7,True,0.7,0,64,2,5G_3.5G,8,SBS.csv,KBS_ChungJu.csv,131.8883,11.4843,8.3483
alpha_0.7,True,0.7,0,64,2,5G_3.5G,8,SBS.csv,KBS_main.csv,42.6006,6.5269,4.7645
alpha_0.7,True,0.7,0,64,2,5G_3.5G,8,SBS.csv,SBS.csv,48.3934,6.9565,4.9456
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,MBC_CheongJu.csv,67.5462,8.2186,6.6052
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,Broad_CheongJu.csv,78.6556,8.8688,7.0496
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,MBC_DaeJeon.csv,102.1352,10.1062,8.0038
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,KBS_DaeJeon.csv,71.9732,8.4837,6.5976
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,CMB_DaeJeon.csv,78.4271,8.8559,6.7591
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,MBC_ChungJu.csv,152.2966,12.3408,8.8972
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,KBS_ChungJu.csv,120.8292,10.9922,8.2287
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,KBS_main.csv,48.9379,6.9956,5.3815
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,SBS.csv,53.3574,7.3046,5.4208
alpha_0.7,True,0.7,0,64,2,5G_3.5G,9,MBC_sa.csv,MBC_sa.csv,94.7746,9.7352,7.3454
