run_name,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,0,MBC_CheongJu.csv,MBC_CheongJu.csv,62.9559,7.9345,5.6510
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,1,Broad_CheongJu.csv,MBC_CheongJu.csv,65.2342,8.0768,5.4805
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,1,Broad_CheongJu.csv,Broad_CheongJu.csv,83.6264,9.1447,6.3226
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_CheongJu.csv,66.5625,8.1586,6.0818
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,2,MBC_DaeJeon.csv,Broad_CheongJu.csv,76.8237,8.7649,6.4628
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,2,MBC_DaeJeon.csv,MBC_DaeJeon.csv,104.0330,10.1997,7.5755
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_CheongJu.csv,69.5277,8.3383,6.3421
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,3,KBS_DaeJeon.csv,Broad_CheongJu.csv,75.7087,8.7011,6.4878
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,3,KBS_DaeJeon.csv,MBC_DaeJeon.csv,98.6416,9.9318,7.3665
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,3,KBS_DaeJeon.csv,KBS_DaeJeon.csv,65.3961,8.0868,5.8981
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_CheongJu.csv,69.7719,8.3530,6.4010
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,4,CMB_DaeJeon.csv,Broad_CheongJu.csv,75.2283,8.6734,6.5200
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,4,CMB_DaeJeon.csv,MBC_DaeJeon.csv,96.9498,9.8463,7.3921
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,4,CMB_DaeJeon.csv,KBS_DaeJeon.csv,65.5599,8.0969,5.9610
beta_0.3,True,0.5,0.3,64,2,5G_3.5G,4,CMB_DaeJeon.csv,CMB_DaeJeon.csv,71.7949,8.4732,6.0642
