run_name,sweep_tag,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,0,MBC_CheongJu_5G_3.5G.csv,MBC_CheongJu_5G_3.5G.csv,57.5048,7.5832,5.5301
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,1,Broad_CheongJu_5G_3.5G.csv,MBC_CheongJu_5G_3.5G.csv,65.0613,8.0661,6.1790
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,1,Broad_CheongJu_5G_3.5G.csv,Broad_CheongJu_5G_3.5G.csv,69.4017,8.3308,6.2508
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,2,MBC_DaeJeon_5G_3.5G.csv,MBC_CheongJu_5G_3.5G.csv,88.6417,9.4150,7.5695
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,2,MBC_DaeJeon_5G_3.5G.csv,Broad_CheongJu_5G_3.5G.csv,80.3610,8.9644,7.0827
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,2,MBC_DaeJeon_5G_3.5G.csv,MBC_DaeJeon_5G_3.5G.csv,81.4413,9.0245,7.0540
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,3,KBS_DaeJeon_5G_3.5G.csv,MBC_CheongJu_5G_3.5G.csv,73.8413,8.5931,6.7043
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,3,KBS_DaeJeon_5G_3.5G.csv,Broad_CheongJu_5G_3.5G.csv,73.9221,8.5978,6.5506
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,3,KBS_DaeJeon_5G_3.5G.csv,MBC_DaeJeon_5G_3.5G.csv,84.9549,9.2171,6.9958
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,3,KBS_DaeJeon_5G_3.5G.csv,KBS_DaeJeon_5G_3.5G.csv,63.6857,7.9803,5.9360
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon_5G_3.5G.csv,MBC_CheongJu_5G_3.5G.csv,67.3413,8.2062,6.3271
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon_5G_3.5G.csv,Broad_CheongJu_5G_3.5G.csv,71.6117,8.4624,6.3710
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon_5G_3.5G.csv,MBC_DaeJeon_5G_3.5G.csv,91.3224,9.5563,7.3058
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon_5G_3.5G.csv,KBS_DaeJeon_5G_3.5G.csv,65.5015,8.0933,6.0518
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,4,CMB_DaeJeon_5G_3.5G.csv,CMB_DaeJeon_5G_3.5G.csv,73.1990,8.5556,6.2275
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,5,MBC_ChungJu_5G_3.5G.csv,MBC_CheongJu_5G_3.5G.csv,97.8532,9.8921,8.3858
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,5,MBC_ChungJu_5G_3.5G.csv,Broad_CheongJu_5G_3.5G.csv,91.7421,9.5782,7.9192
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,5,MBC_ChungJu_5G_3.5G.csv,MBC_DaeJeon_5G_3.5G.csv,93.9678,9.6937,7.8500
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,5,MBC_ChungJu_5G_3.5G.csv,KBS_DaeJeon_5G_3.5G.csv,80.0465,8.9469,7.2012
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,5,MBC_ChungJu_5G_3.5G.csv,CMB_DaeJeon_5G_3.5G.csv,90.5442,9.5155,7.5472
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,5,MBC_ChungJu_5G_3.5G.csv,MBC_ChungJu_5G_3.5G.csv,119.0494,10.9110,8.5048
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,6,KBS_ChungJu_5G_3.5G.csv,MBC_CheongJu_5G_3.5G.csv,103.3063,10.1640,8.5249
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,6,KBS_ChungJu_5G_3.5G.csv,Broad_CheongJu_5G_3.5G.csv,93.3053,9.6595,7.9640
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,6,KBS_ChungJu_5G_3.5G.csv,MBC_DaeJeon_5G_3.5G.csv,92.9025,9.6386,7.7555
freq_sweep_alpha0.5_beta0.7_hd64_layer2_5G_3.5G,freq_sweep,True,0.5,0.7,64,2,5G_3.5G,6,KBS_ChungJu_5G_3.5G.csv,KBS_DaeJeon_5G_3.5G.csv,81.5288,9.0293,7.2269
