run_name,sweep_tag,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,0,MBC_CheongJu_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,49.5055,7.0360,5.1120
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,1,Broad_CheongJu_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,56.2697,7.5013,5.7773
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,1,Broad_CheongJu_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,61.0732,7.8149,5.9060
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,2,MBC_DaeJeon_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,69.3109,8.3253,6.6639
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,2,MBC_DaeJeon_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,67.5689,8.2200,6.4534
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,2,MBC_DaeJeon_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,65.5559,8.0967,6.3776
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,3,KBS_DaeJeon_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,65.2596,8.0783,6.3464
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,3,KBS_DaeJeon_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,65.3245,8.0824,6.2019
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,3,KBS_DaeJeon_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,66.6373,8.1632,6.3025
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,3,KBS_DaeJeon_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,54.2949,7.3685,5.5568
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,4,CMB_DaeJeon_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,59.6463,7.7231,6.0436
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,4,CMB_DaeJeon_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,62.2949,7.8927,6.0127
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,4,CMB_DaeJeon_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,67.2154,8.1985,6.2937
