run_name,sweep_tag,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,0,MBC_CheongJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,54.6793,7.3945,5.6320
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,1,Broad_CheongJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,56.4216,7.5114,5.7822
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,1,Broad_CheongJu_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,63.3680,7.9604,6.0941
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,2,MBC_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,60.3927,7.7713,6.0624
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,2,MBC_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,64.2751,8.0172,6.2473
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,2,MBC_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,75.9826,8.7168,6.8919
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,57.0437,7.5527,5.7980
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,62.5918,7.9115,6.0475
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,76.6965,8.7577,6.8257
hidden_dim_sweep_alpha0.5_beta0.7_hd32_layer2_LTE_2.1G,hidden_dim_sweep,True,0.5,0.7,32,2,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,59.9194,7.7408,5.9178
