run_name,sweep_tag,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,0,MBC_CheongJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,57.0967,7.5562,5.7401
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,1,Broad_CheongJu_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,59.0538,7.6846,5.9210
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,1,Broad_CheongJu_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,63.4387,7.9648,6.0920
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,2,MBC_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,61.2023,7.8232,6.1456
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,2,MBC_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,64.6229,8.0388,6.2814
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,2,MBC_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,77.2049,8.7866,7.0165
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,59.9518,7.7429,6.0274
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,63.6775,7.9798,6.1603
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,77.4772,8.8021,6.9798
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,3,KBS_DaeJeon_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,61.2467,7.8260,6.0712
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,MBC_CheongJu_LTE_2.1G.csv,58.4962,7.6483,5.9110
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,Broad_CheongJu_LTE_2.1G.csv,64.3015,8.0188,6.1802
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,MBC_DaeJeon_LTE_2.1G.csv,80.4803,8.9711,7.0944
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,KBS_DaeJeon_LTE_2.1G.csv,62.6209,7.9133,6.1074
layer_num_sweep_alpha0.5_beta0.7_hd64_layer5_LTE_2.1G,layer_num_sweep,True,0.5,0.7,64,5,LTE_2.1G,4,CMB_DaeJeon_LTE_2.1G.csv,CMB_DaeJeon_LTE_2.1G.csv,64.9211,8.0574,6.1107
