use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,103.0527,10.1515,7.1969
True,1,Broad_CheongJu.csv,93.2781,9.6581,7.0441
True,2,MBC_DaeJeon.csv,98.0379,9.9014,7.6296
True,3,KBS_DaeJeon.csv,86.1147,9.2798,6.8417
True,4,CMB_DaeJeon.csv,84.4685,9.1907,6.6339
True,5,MBC_ChungJu.csv,110.9065,10.5312,8.5397
True,6,KBS_ChungJu.csv,117.5312,10.8412,8.7619
True,7,KBS_main.csv,120.2826,10.9673,7.6961
True,8,SBS.csv,112.4593,10.6047,7.3156
True,9,MBC_sa.csv,97.6321,9.8809,7.3012
True,10,KBS_KangNeung.csv,127.6099,11.2965,9.1551
True,11,MBC_KangNeung.csv,111.3090,10.5503,8.2206
True,12,TBN_DaeGu.csv,119.1465,10.9154,8.3262
True,13,TBC_DaeGu.csv,126.9544,11.2674,8.7692
True,14,JeonJu_Radio.csv,111.0095,10.5361,7.9787
True,15,KBS_JeonJu.csv,114.5757,10.7040,7.8349
True,16,KBS_MokPo.csv,118.3327,10.8781,7.5911
True,17,KBS_SunCheon.csv,216.5566,14.7159,12.3425
True,18,KBS_GwangJu.csv,110.6156,10.5174,7.3893
