use_scaling,Stage,Task,MSE,RMSE,MAE
True,0,MBC_CheongJu.csv,71.2131,8.4388,5.9638
True,1,Broad_CheongJu.csv,76.0358,8.7199,6.5075
True,2,MBC_DaeJeon.csv,89.4230,9.4564,7.3129
True,3,KBS_DaeJeon.csv,79.7935,8.9327,6.6293
True,4,CMB_DaeJeon.csv,77.6293,8.8108,6.5145
True,5,MBC_ChungJu.csv,104.8345,10.2389,8.3509
True,6,KBS_ChungJu.csv,108.5972,10.4210,8.4000
True,7,KBS_main.csv,101.8448,10.0918,7.0264
True,8,SBS.csv,96.4546,9.8211,6.7184
True,9,MBC_sa.csv,88.5257,9.4088,7.1605
True,10,KBS_KangNeung.csv,107.7649,10.3810,8.3581
True,11,MBC_KangNeung.csv,97.4113,9.8697,7.5357
True,12,TBN_DaeGu.csv,148.6781,12.1934,8.8808
True,13,TBC_DaeGu.csv,139.4801,11.8102,8.8601
True,14,JeonJu_Radio.csv,110.6760,10.5203,8.0136
True,15,KBS_JeonJu.csv,113.7623,10.6659,7.8741
True,16,KBS_MokPo.csv,117.9709,10.8614,7.3641
True,17,KBS_SunCheon.csv,202.8522,14.2426,11.9766
True,18,KBS_GwangJu.csv,107.8302,10.3841,7.2165
